,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"1,553,000","1,785,000","2,094,000","2,521,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"1,553,000","1,785,000","2,094,000","2,521,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"507,000","519,000","500,000","467,000"
7,Non Recurring,-,-,-,-
8,Others,"477,000","447,000","451,000","451,000"
9,Total Operating Expenses,"1,015,000","989,000","980,000","930,000"
10,Operating Income or Loss,"538,000","796,000","1,114,000","1,591,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-10,000","-35,000","-6,000","-11,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"528,000","764,000","1,108,000","1,580,000"
16,Income Tax Expense,"133,000","472,000","427,000","597,000"
17,Minority Interest,"28,000","31,000","24,000","24,000"
18,Net Income From Continuing Ops,"395,000","292,000","681,000","983,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,"1,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"395,000","292,000","681,000","984,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"395,000","292,000","681,000","984,000"
