,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"6,055,126","5,396,175","4,874,340","4,345,048"
2,Cost of Revenue,"3,377,076","3,063,644","2,850,225","2,655,449"
3,Gross Profit,"2,678,050","2,332,531","2,024,115","1,689,599"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"896,779","771,643","652,508","553,649"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"4,834,915","4,342,309","3,933,726","3,624,695"
10,Operating Income or Loss,"1,220,211","1,053,866","940,614","720,353"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-250,901","-283,252","-300,311","-286,444"
13,Earnings Before Interest and Taxes,"1,220,211","1,053,866","940,614","720,353"
14,Interest Expense,"-264,058","-243,945","-237,659","-209,308"
15,Income Before Tax,"969,310","770,614","640,303","433,909"
16,Income Tax Expense,"14,467","10,742","7,218","6,772"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"954,843","759,872","633,085","427,137"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"954,843","759,872","633,085","427,137"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"954,843","759,872","633,085","427,137"
