,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"5,802,000","5,384,000","4,882,000","4,513,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"5,802,000","5,384,000","4,882,000","4,513,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,885,000","2,852,000","2,754,000","2,684,000"
7,Non Recurring,-,-,-,-
8,Others,"491,000","442,000","428,000","429,000"
9,Total Operating Expenses,"3,376,000","3,294,000","3,182,000","3,113,000"
10,Operating Income or Loss,"2,426,000","2,090,000","1,700,000","1,400,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-243,000","-178,000","-166,000","-137,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"2,183,000","1,912,000","1,534,000","1,263,000"
16,Income Tax Expense,"462,000","260,000","489,000","423,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,721,000","1,652,000","1,045,000","840,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,721,000","1,652,000","1,045,000","840,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,692,000","1,638,000","1,031,000","833,000"
