,assoc,values
0,they buy,first hawaiian bank increased stake ryder system inc r 78.1 based latest 2018q4 regulatory filing sec .
1,they buy,"first hawaiian bank bought 7,138 shares company stock rose 12.35 market ."
2,they sell,"jabre capital partners sa sold 326,258 shares company stock declined 5.89 stock markets rallied ."
3,they buy,"historical cenx news 08/03/2018 trump says u.s. reciprocal tax program point 09/03/2018 century aluminum co cenx.o deutsche bank raises target price 18 16 08/03/2018 trump says century aluminum expects expand tariff signing 03/04/2018 century aluminum ceo michael bless thinks despite tariff exemptions ultimate objective reached reviving steel aluminum industries 08/03/2018 ross says u.s. steel firms benefit increased production 02/05/2018 century aluminum michelle harrison assume responsibilities principal accounting officer interim basis 23/04/2018 dj century aluminum company inst holders 1q 2018 cenx 30/05/2018 century aluminum electrical failure affecting one potline se 30/05/2018 century aluminum reports electrical failure affecting one potline sebree smelter 30/05/2018 century aluminum expects losses arising events less deductibles covered insurance since november 8 2018 1 insider purchase 1 sale 591,082 activity ."
4,they buy,"shares 114,470 bought nord david g ."
5,they sell,dropped 55 investors sold r shares 78 reduced holdings .
6,they buy,"eaton vance 0 invested ryder system inc. nyse r 12,441 shares ."
7,they buy,"neuberger berman group inc lc invested 0.02 340,109 shares ."
8,they buy,"calamos advsrs ltd liability corporation invested 0 5,570 shares ."
9,they sell,negative 17 investors sold cenx shares 43 reduced holdings .
10,they buy,"7,300 held pinebridge investments l p. moreover metropolitan life insur ny 0 invested century aluminum company nasdaq cenx 16,847 shares ."
11,they buy,gabelli funds limited liability invested 0.01 portfolio century aluminum company nasdaq cenx .
12,they buy,"kennedy inc owns 0.05 invested century aluminum company nasdaq cenx 272,875 shares ."
13,they buy,pennsylvania-based cim invest mangement invested 0.05 century aluminum company nasdaq cenx .
14,they buy,guernsey-based bluecrest cap limited invested 0.01 century aluminum company nasdaq cenx .
15,they buy,"credit suisse ag invested 41,251 shares ."
16,they buy,"commercial bank mellon corp invested 0 627,332 shares ."
17,they buy,buy avoid stock sets active trading volume day reported 305240 contracts far session .
18,they buy,analysts stifel raised recommendation shares r hold buy opinion released november 29. loop capital analysts bumped rating ryder system inc. nyse r stock hold buy separate flash note issued investors october 25. analysts wolfe research released upgrade peer perform outperform stock research note dated back october 05 .
19,they sell,analysts rate stock buy strong buy others rated sell .
20,they sell,9 analysts rated ryder system inc. nyse r buy strong buy 1 advised investors desist purchasing stock sell already company stock .
