,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"9,823,000","9,048,000","8,386,000","7,477,000"
2,Cost of Revenue,"2,795,000","2,606,000","2,447,000","2,176,000"
3,Gross Profit,"7,028,000","6,442,000","5,939,000","5,301,000"
4,Operating Expenses,,,,
5,Research Development,"1,052,000","997,000","920,000","876,000"
6,Selling General and Administrative,"3,474,000","3,281,000","3,083,000","2,847,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"7,920,000","7,449,000","6,995,000","6,394,000"
10,Operating Income or Loss,"1,903,000","1,599,000","1,391,000","1,083,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-481,000","-667,000","-1,214,000","-1,733,000"
13,Earnings Before Interest and Taxes,"1,903,000","1,599,000","1,391,000","1,083,000"
14,Interest Expense,"-241,000","-229,000","-233,000","-284,000"
15,Income Before Tax,"1,422,000","932,000","177,000","-650,000"
16,Income Tax Expense,"-249,000","828,000","-170,000","-411,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,671,000","104,000","347,000","-239,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,671,000","104,000","347,000","-239,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,671,000","104,000","347,000","-239,000"
