,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"20,404,000","19,747,000","20,855,000","22,552,000"
2,Cost of Revenue,"13,756,000","13,405,000","14,262,000","15,517,000"
3,Gross Profit,"6,648,000","6,342,000","6,593,000","7,035,000"
4,Operating Expenses,,,,
5,Research Development,"584,000","589,000","625,000","647,000"
6,Selling General and Administrative,"3,561,000","3,505,000","3,591,000","3,785,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"17,901,000","17,499,000","18,478,000","19,949,000"
10,Operating Income or Loss,"2,503,000","2,248,000","2,377,000","2,603,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"865,000","-130,000","-244,000","-842,000"
13,Earnings Before Interest and Taxes,"2,503,000","2,248,000","2,377,000","2,603,000"
14,Interest Expense,"-237,000","-233,000","-232,000","-227,000"
15,Income Before Tax,"3,368,000","2,118,000","2,133,000","1,761,000"
16,Income Tax Expense,"382,000","199,000","159,000","-42,000"
17,Minority Interest,"37,000","44,000","45,000","53,000"
18,Net Income From Continuing Ops,"2,986,000","1,919,000","1,974,000","1,803,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,985,000","1,916,000","1,972,000","1,793,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,985,000","1,916,000","1,972,000","1,793,000"
