,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"9,466,478","7,651,319","7,572,436","7,747,229"
2,Cost of Revenue,"8,224,618","6,637,519","6,648,771","6,578,435"
3,Gross Profit,"1,241,860","1,013,800","923,665","1,168,794"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"768,320","639,838","589,263","655,077"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"9,025,143","7,309,042","7,272,882","7,267,769"
10,Operating Income or Loss,"441,335","342,277","299,554","479,460"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-87,578","-34,591","-70,879","-52,861"
13,Earnings Before Interest and Taxes,"441,335","342,277","299,554","479,460"
14,Interest Expense,"-20,946","-14,887","-8,024","-4,765"
15,Income Before Tax,"353,757","307,686","228,675","426,599"
16,Income Tax Expense,"35,532","107,246","97,472","139,007"
17,Minority Interest,"4,058","3,275","2,321","11,067"
18,Net Income From Continuing Ops,"318,225","200,440","131,203","287,592"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-342,"190,621","27,490"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"314,978","198,383","310,907","296,714"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"314,978","198,383","310,907","296,714"
