,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"7,679,500","7,648,500","7,472,300","5,926,100"
2,Cost of Revenue,"5,168,400","4,878,900","4,818,700","3,949,400"
3,Gross Profit,"2,511,100","2,769,600","2,653,600","1,976,700"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"-26,000","-9,100","14,200","36,200"
7,Non Recurring,-,-,-,-
8,Others,"196,900","194,900","194,700","164,400"
9,Total Operating Expenses,"6,185,100","5,863,300","5,790,200","4,675,600"
10,Operating Income or Loss,"1,494,400","1,785,200","1,682,100","1,250,500"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-265,300","-198,000","-176,600","-178,200"
13,Earnings Before Interest and Taxes,"1,494,400","1,785,200","1,682,100","1,250,500"
14,Interest Expense,"-446,300","-416,900","-403,900","-333,200"
15,Income Before Tax,"1,229,100","1,587,200","1,505,500","1,072,300"
16,Income Tax Expense,"169,800","383,500","566,500","433,800"
17,Minority Interest,"53,800","30,400","30,400","30,400"
18,Net Income From Continuing Ops,"1,059,300","1,203,700","939,000","638,500"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,059,300","1,203,700","939,000","638,500"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,059,300","1,203,700","939,000","638,500"
