,0,1,2,3,4
0,Revenue,8/31/2017,8/31/2016,8/31/2015,8/31/2014
1,Total Revenue,"118,214,000","117,351,000","103,444,000","76,392,000"
2,Cost of Revenue,"89,052,000","87,477,000","76,585,000","54,823,000"
3,Gross Profit,"29,162,000","29,874,000","26,859,000","21,569,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"22,891,000","23,406,000","21,591,000","17,691,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"111,943,000","110,883,000","98,176,000","72,514,000"
10,Operating Income or Loss,"6,271,000","6,468,000","5,268,000","3,878,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,410,000","-1,280,000","67,000","-321,000"
13,Earnings Before Interest and Taxes,"6,271,000","6,468,000","5,268,000","3,878,000"
14,Interest Expense,"-643,000","-580,000","-471,000","-161,000"
15,Income Before Tax,"4,861,000","5,188,000","5,335,000","3,557,000"
16,Income Tax Expense,"760,000","997,000","1,056,000","1,526,000"
17,Minority Interest,"808,000","401,000","439,000","104,000"
18,Net Income From Continuing Ops,"4,101,000","4,191,000","4,279,000","2,031,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"4,078,000","4,173,000","4,220,000","1,932,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"4,078,000","4,173,000","4,220,000","1,932,000"
