,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"14,066,000","13,735,000","13,105,000","13,415,000"
2,Cost of Revenue,"7,830,000","6,842,000","6,789,000","8,152,000"
3,Gross Profit,"6,236,000","6,893,000","6,316,000","5,263,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"4,801,000","4,565,000","4,164,000","4,164,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,"3,661,000"
9,Total Operating Expenses,"12,631,000","11,407,000","10,953,000","11,813,000"
10,Operating Income or Loss,"1,435,000","2,328,000","2,152,000","1,602,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-601,000","-746,000","-1,216,000","-1,358,000"
13,Earnings Before Interest and Taxes,"1,435,000","2,328,000","2,152,000","1,602,000"
14,Interest Expense,"-574,000","-646,000","-536,000","-520,000"
15,Income Before Tax,"834,000","1,582,000","936,000","244,000"
16,Income Tax Expense,"128,000","170,000","220,000","-43,000"
17,Minority Interest,"2,868,000","5,362,000","5,198,000","5,249,000"
18,Net Income From Continuing Ops,"706,000","1,412,000","716,000","287,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"636,000","1,164,000","654,000","260,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"636,000","1,164,000","654,000","260,000"
