,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"7,658,000","7,015,000","6,632,000","6,416,000"
2,Cost of Revenue,"5,091,000","4,369,000","3,802,000","3,842,000"
3,Gross Profit,"2,567,000","2,646,000","2,830,000","2,574,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"294,000","267,000","259,000","264,000"
7,Non Recurring,-,-,-,-
8,Others,"1,059,000","933,000","866,000","770,000"
9,Total Operating Expenses,"6,935,000","6,015,000","5,320,000","5,221,000"
10,Operating Income or Loss,"723,000","1,000,000","1,312,000","1,195,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-504,000","-79,000","-96,000","-98,000"
13,Earnings Before Interest and Taxes,"723,000","1,000,000","1,312,000","1,195,000"
14,Interest Expense,"-82,000","-85,000","-103,000","-120,000"
15,Income Before Tax,"219,000","921,000","1,216,000","1,097,000"
16,Income Tax Expense,"31,000","-226,000","457,000","420,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"188,000","1,147,000","759,000","677,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"188,000","1,147,000","759,000","677,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"188,000","1,147,000","759,000","677,000"
