,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"11,967,000","11,168,000","10,197,000","10,348,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"11,967,000","11,168,000","10,197,000","10,348,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"6,304,000","6,429,000","6,339,000","6,009,000"
7,Non Recurring,-,-,-,-
8,Others,"2,090,000","1,375,000","1,282,000","1,324,000"
9,Total Operating Expenses,"8,394,000","7,804,000","7,621,000","7,333,000"
10,Operating Income or Loss,"3,573,000","3,364,000","2,576,000","3,015,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-574,000","-465,000","-456,000","-717,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"2,999,000","2,899,000","2,120,000","2,298,000"
16,Income Tax Expense,"400,000","722,000","-22,000","318,000"
17,Minority Interest,-,-,-,"32,000"
18,Net Income From Continuing Ops,"2,599,000","2,177,000","2,142,000","1,980,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,599,000","2,177,000","2,143,000","1,980,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,410,000","1,993,000","1,968,000","1,848,000"
