,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,-,"34,484,000","29,183,000","32,735,000"
2,Cost of Revenue,-,"28,059,000","23,191,000","25,683,000"
3,Gross Profit,-,"6,425,000","5,992,000","7,052,000"
4,Operating Expenses,,,,
5,Research Development,-,"106,000","99,000","102,000"
6,Selling General and Administrative,-,"859,000","833,000","828,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,-,"29,024,000","24,123,000","26,613,000"
10,Operating Income or Loss,-,"5,460,000","5,060,000","6,122,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,-,"33,000","173,000","87,000"
13,Earnings Before Interest and Taxes,-,"5,460,000","5,060,000","6,122,000"
14,Interest Expense,-,"-491,000","-322,000","-310,000"
15,Income Before Tax,-,"5,493,000","5,233,000","6,209,000"
16,Income Tax Expense,-,"598,000","1,386,000","1,730,000"
17,Minority Interest,-,"1,000","25,000","24,000"
18,Net Income From Continuing Ops,-,"4,895,000","3,847,000","4,479,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"-18,000","-10,000","-5,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,-,"4,879,000","3,836,000","4,476,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,-,"4,874,000","3,832,000","4,468,000"
