,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"3,329,000","3,094,000","2,600,000","2,577,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"3,329,000","3,094,000","2,600,000","2,577,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,619,000","1,631,000","1,647,000","1,662,000"
7,Non Recurring,-,-,-,-
8,Others,"79,000","120,000","116,000","139,000"
9,Total Operating Expenses,"1,698,000","1,751,000","1,763,000","1,801,000"
10,Operating Income or Loss,"1,631,000","1,343,000","837,000","776,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-96,000","-109,000","-167,000","-26,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"1,535,000","1,234,000","670,000","750,000"
16,Income Tax Expense,"300,000","491,000","193,000","229,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,235,000","743,000","477,000","521,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,235,000","743,000","477,000","521,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,227,000","738,000","473,000","515,000"
