,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"14,144,000","13,705,000","13,058,000","14,403,000"
2,Cost of Revenue,"6,943,000","6,814,000","5,801,000","6,452,000"
3,Gross Profit,"7,201,000","6,891,000","7,257,000","7,951,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"582,000","659,000","677,000","604,000"
7,Non Recurring,-,-,-,-
8,Others,"342,000","397,000","420,000","436,000"
9,Total Operating Expenses,"10,243,000","10,131,000","9,107,000","10,200,000"
10,Operating Income or Loss,"3,901,000","3,574,000","3,951,000","4,203,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,395,000","-1,413,000","-2,313,000","-3,431,000"
13,Earnings Before Interest and Taxes,"3,901,000","3,574,000","3,951,000","4,203,000"
14,Interest Expense,"-1,917,000","-1,832,000","-1,806,000","-2,051,000"
15,Income Before Tax,"2,506,000","2,161,000","1,638,000","772,000"
16,Income Tax Expense,"587,000","1,938,000","917,000","564,000"
17,Minority Interest,"1,519,000","1,488,000","371,000","284,000"
18,Net Income From Continuing Ops,"1,919,000","223,000","721,000","208,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,609,000","183,000","708,000","253,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,473,000","22,000","548,000","214,000"
