,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"147,049,000","145,588,000","149,184,000","135,725,000"
2,Cost of Revenue,"132,771,000","126,784,000","129,801,000","117,583,000"
3,Gross Profit,"14,278,000","18,804,000","19,383,000","18,142,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"7,545,000","8,140,000","8,783,000","10,288,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"140,316,000","134,924,000","138,584,000","127,871,000"
10,Operating Income or Loss,"6,733,000","10,664,000","10,600,000","7,854,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"1,816,000","1,199,000","1,408,000","517,000"
13,Earnings Before Interest and Taxes,"6,733,000","10,664,000","10,600,000","7,854,000"
14,Interest Expense,"-655,000","-575,000","-563,000","-423,000"
15,Income Before Tax,"8,549,000","11,863,000","12,008,000","8,371,000"
16,Income Tax Expense,"474,000","11,533,000","2,739,000","-1,219,000"
17,Minority Interest,"3,917,000","1,199,000","239,000","452,000"
18,Net Income From Continuing Ops,"8,075,000","330,000","9,269,000","9,590,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-70,000","-4,212,000","-1,000","25,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"8,014,000","-3,864,000","9,427,000","9,687,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"7,916,000","-3,880,000","9,427,000","9,687,000"
