,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"24,358,000","20,918,000","18,274,000","16,965,000"
2,Cost of Revenue,"13,489,000","11,382,000","9,825,000","9,200,000"
3,Gross Profit,"10,869,000","9,536,000","8,449,000","7,765,000"
4,Operating Expenses,,,,
5,Research Development,"967,000","887,000","754,000","692,000"
6,Selling General and Administrative,"6,012,000","5,428,000","4,883,000","4,566,000"
7,Non Recurring,-,-,-,-
8,Others,-,"6,000","7,000","5,000"
9,Total Operating Expenses,"20,468,000","17,697,000","15,469,000","14,463,000"
10,Operating Income or Loss,"3,890,000","3,221,000","2,805,000","2,502,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-628,000","-792,000","-781,000","-566,000"
13,Earnings Before Interest and Taxes,"3,890,000","3,221,000","2,805,000","2,502,000"
14,Interest Expense,"-667,000","-592,000","-469,000","-422,500"
15,Income Before Tax,"3,262,000","2,429,000","2,024,000","1,936,000"
16,Income Tax Expense,"324,000","201,000","-1,000","-44,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,938,000","2,228,000","2,025,000","1,980,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"-3,000","-3,000","-5,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,938,000","2,225,000","2,022,000","1,975,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,938,000","2,225,000","2,022,000","1,975,000"
