,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"25,067,279","20,252,393","16,208,122","16,439,276"
2,Cost of Revenue,"20,771,871","17,673,186","14,182,215","15,325,386"
3,Gross Profit,"4,295,408","2,579,207","2,025,907","1,113,890"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"860,722","665,031","563,061","458,989"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"21,742,593","18,338,217","14,745,276","15,784,375"
10,Operating Income or Loss,"3,324,686","1,914,176","1,462,846","654,901"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-95,295","-164,219","-164,187","-413,035"
13,Earnings Before Interest and Taxes,"3,324,686","1,914,176","1,462,846","654,901"
14,Interest Expense,"-135,535","-187,282","-181,179","-177,543"
15,Income Before Tax,"3,229,391","1,749,957","1,298,659","241,866"
16,Income Tax Expense,"748,307","369,386","398,243","48,836"
17,Minority Interest,"409,890","345,752","374,843","372,061"
18,Net Income From Continuing Ops,"2,481,084","1,380,571","900,416","193,030"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,360,767","1,318,688","796,271","80,724"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,360,767","1,314,139","793,639","79,210"
