,0,1,2,3,4
0,Revenue,12/30/2017,12/31/2016,1/2/2016,1/3/2015
1,Total Revenue,"14,198,000","13,788,000","13,423,000","13,878,000"
2,Cost of Revenue,"11,824,000","11,347,000","11,018,000","11,401,000"
3,Gross Profit,"2,374,000","2,441,000","2,405,000","2,477,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,337,000","1,304,000","1,304,000","1,361,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"13,161,000","12,651,000","12,322,000","12,762,000"
10,Operating Income or Loss,"1,037,000","1,137,000","1,101,000","1,116,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-275,000","-261,000","-130,000","-263,000"
13,Earnings Before Interest and Taxes,"1,037,000","1,137,000","1,101,000","1,116,000"
14,Interest Expense,"-145,000","-138,000","-130,000","-148,000"
15,Income Before Tax,"762,000","876,000","971,000","853,000"
16,Income Tax Expense,"456,000","33,000","273,000","248,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"306,000","843,000","698,000","605,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"1,000","119,000","-1,000","-5,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"307,000","962,000","697,000","600,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"307,000","962,000","697,000","600,000"
