,0,1,2,3,4
0,Revenue,9/28/2018,9/29/2017,9/30/2016,10/2/2015
1,Total Revenue,"2,919,100","2,619,300","2,593,700","2,490,700"
2,Cost of Revenue,"1,645,500","1,505,400","1,489,000","1,458,600"
3,Gross Profit,"1,273,600","1,113,900","1,104,700","1,032,100"
4,Operating Expenses,,,,
5,Research Development,"233,900","210,000","200,400","195,400"
6,Selling General and Administrative,"539,300","537,200","472,200","428,800"
7,Non Recurring,-,-,-,-
8,Others,-,-,"2,200","2,200"
9,Total Operating Expenses,"2,418,700","2,252,600","2,163,800","2,082,800"
10,Operating Income or Loss,"500,400","366,700","429,900","407,900"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-48,300","-63,600","2,500","-6,600"
13,Earnings Before Interest and Taxes,"500,400","366,700","429,900","407,900"
14,Interest Expense,"-6,800","-10,700","-11,600","-7,900"
15,Income Before Tax,"452,100","303,100","432,400","401,300"
16,Income Tax Expense,"301,800","77,100","110,100","89,900"
17,Minority Interest,"4,300","4,300","14,000","14,700"
18,Net Income From Continuing Ops,"150,300","226,000","322,300","311,400"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"-6,800","77,400","100,600"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"149,900","218,500","399,300","411,500"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"149,900","218,500","399,300","411,500"
