,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"71,861,000","65,872,000","60,906,000","58,363,000"
2,Cost of Revenue,"37,725,000","51,022,000","48,592,000","43,975,000"
3,Gross Profit,"34,136,000","14,850,000","12,314,000","14,388,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,362,000","1,362,000","1,362,000","1,362,000"
7,Non Recurring,-,-,-,-
8,Others,"27,602,000","5,039,000","4,615,000","4,636,000"
9,Total Operating Expenses,"65,327,000","58,343,000","55,431,000","50,695,000"
10,Operating Income or Loss,"6,534,000","7,529,000","5,475,000","7,668,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-515,000","-381,000","-339,000","-326,000"
13,Earnings Before Interest and Taxes,"6,534,000","7,529,000","5,475,000","7,668,000"
14,Interest Expense,"-605,000","-453,000","-381,000","-341,000"
15,Income Before Tax,"6,019,000","7,148,000","5,136,000","7,342,000"
16,Income Tax Expense,"1,228,000","2,238,000","1,705,000","2,498,000"
17,Minority Interest,-,"30,000","24,000","21,000"
18,Net Income From Continuing Ops,"4,791,000","4,910,000","3,431,000","4,844,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"4,791,000","4,910,000","3,431,000","4,844,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"4,791,000","4,910,000","3,431,000","4,844,000"
