,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"160,338,000","156,776,000","151,800,000","149,558,000"
2,Cost of Revenue,"145,660,000","140,197,000","134,616,000","131,410,000"
3,Gross Profit,"14,678,000","16,579,000","17,184,000","18,148,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"11,403,000","9,770,000","12,597,000","10,097,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"157,063,000","149,967,000","147,213,000","141,507,000"
10,Operating Income or Loss,"3,275,000","6,809,000","4,587,000","8,051,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"1,070,000","1,339,000","2,209,000","2,201,000"
13,Earnings Before Interest and Taxes,"3,275,000","6,809,000","4,587,000","8,051,000"
14,Interest Expense,"-1,228,000","-1,136,000","-899,000","-773,000"
15,Income Before Tax,"4,345,000","8,148,000","6,796,000","10,252,000"
16,Income Tax Expense,"650,000","520,000","2,189,000","2,881,000"
17,Minority Interest,"134,000","126,000","113,000","109,000"
18,Net Income From Continuing Ops,"3,695,000","7,628,000","4,607,000","7,371,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"3,677,000","7,602,000","4,596,000","7,373,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"3,677,000","7,602,000","4,596,000","7,373,000"
