,0,1,2,3,4
0,Revenue,8/31/2018,8/31/2017,8/31/2016,8/31/2015
1,Total Revenue,"3,680,100","3,505,100","3,291,300","2,706,700"
2,Cost of Revenue,"2,188,500","2,022,300","1,852,300","1,561,100"
3,Gross Profit,"1,491,600","1,482,800","1,439,000","1,145,600"
4,Operating Expenses,,,,
5,Research Development,"63,900","52,000","47,100","41,100"
6,Selling General and Administrative,"932,100","871,100","864,400","712,600"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,213,000","2,973,400","2,785,200","2,314,800"
10,Operating Income or Loss,"467,100","531,700","506,100","391,900"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-41,200","-39,100","-61,500","-48,300"
13,Earnings Before Interest and Taxes,"467,100","531,700","506,100","391,900"
14,Interest Expense,"-35,500","-34,100","-33,300","-32,600"
15,Income Before Tax,"425,900","492,600","444,600","343,600"
16,Income Tax Expense,"76,300","170,900","153,800","121,500"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"349,600","321,700","290,800","222,100"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"349,600","321,700","290,800","222,100"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"349,600","321,700","290,400","221,100"
