,assoc,values
0,they sell,"equinix news cfo keith d. taylor sold 2,000 shares business stock transaction dated monday august 27th ."
1,they sell,"shares sold average price 431.65 total value 863,300.00 ."
2,they sell,"also insider michael earl campbell sold 1,316 shares business stock transaction dated wednesday september 5th ."
3,they sell,"stock sold average price 423.38 total transaction 557,168.08 ."
4,they sell,"last quarter insiders sold 3,566 shares company stock worth 1,528,778 ."
5,they buy,zacks investment research raised shares equinix hold rating buy rating set 480.00 price target company report tuesday july 3rd .
6,they buy,mitsubishi ufj financial group upped price objective shares equinix 483.00 gave stock overweight rating report friday august 17th .
7,they sell,bidaskclub downgraded shares equinix hold rating sell rating report thursday august 23rd .
8,they sell,finally valuengine downgraded shares equinix hold rating sell rating report thursday august 23rd .
9,they sell,one equities research analyst rated stock sell rating five assigned hold rating eighteen issued buy rating company stock .
10,they buy,stock currently consensus rating buy consensus target price 507.76 .
11,they buy,"bridgeworth llc bought new stake equinix 2nd quarter worth approximately 100,000 ."
12,they sell,"equinix news cfo keith d. taylor sold 2,000 shares equinix stock transaction occurred monday august 27th ."
13,they sell,"stock sold average price 431.65 total transaction 863,300.00 ."
14,they sell,"also insider michael earl campbell sold 1,316 shares equinix stock transaction occurred wednesday september 5th ."
15,they sell,"stock sold average price 423.38 total value 557,168.08 ."
16,they sell,"last quarter insiders sold 3,566 shares company stock valued 1,528,778 ."
17,they sell,roper technologies inc rop shares sold three peaks capital management llc vanguard scotts/vanguard short-term bmv vcsh shares bought leonard rickey investment advisors p.l.l.c .
18,they buy,zacks investment research lowered equinix buy rating hold rating research note monday july 9th .
19,they sell,bidaskclub lowered equinix hold rating sell rating research note thursday september 27th .
20,they buy,finally credit suisse group set 520.00 target price equinix gave company buy rating research note thursday august 9th .
21,they sell,one research analyst rated stock sell rating five assigned hold rating eighteen given buy rating stock .
22,they buy,stock currently consensus rating buy consensus target price 507.76 .
23,they sell,"news insider michael earl campbell sold 1,316 shares equinix stock transaction wednesday september 5th ."
24,they sell,"stock sold average price 423.38 total transaction 557,168.08 ."
25,they sell,"also cfo keith d. taylor sold 2,000 shares equinix stock transaction monday august 27th ."
26,they sell,"shares sold average price 431.65 total value 863,300.00 ."
27,they sell,"last 90 days insiders sold 3,566 shares company stock worth 1,528,778 ."
