,assoc,values
0,they buy,evercore isi set 148.00 target price shares alexandria real estate equities gave company buy rating research note monday october 15th .
1,they buy,citigroup increased price objective shares alexandria real estate equities 127.00 133.00 gave stock neutral rating research note wednesday august 8th .
2,they buy,finally barclays increased price objective shares alexandria real estate equities 132.00 133.00 gave stock overweight rating research note tuesday july 17th .
3,they buy,two analysts rated stock hold rating eight assigned buy rating company stock .
4,they buy,alexandria real estate equities currently average rating buy average price target 123.37 .
5,they sell,"news ceo stephen richardson sold 7,500 shares alexandria real estate equities stock transaction friday august 3rd ."
6,they sell,"stock sold average price 126.66 total transaction 949,950.00 ."
7,they sell,"also insider joel s. marcus sold 29,500 shares alexandria real estate equities stock transaction dated thursday august 2nd ."
8,they sell,"shares sold average price 126.87 total value 3,742,665.00 ."
9,they sell,"insiders sold 76,250 shares company stock valued 9,731,103 last ninety days ."
10,they buy,advisors preferred llc increased holdings alexandria real estate equities 142.3 2nd quarter .
11,they buy,evercore isi set 148.00 price target alexandria real estate equities gave company buy rating research report monday october 15th .
12,they buy,finally barclays lifted price target alexandria real estate equities 132.00 133.00 gave company overweight rating research report tuesday july 17th .
13,they buy,two research analysts rated stock hold rating eight given buy rating stock .
14,they buy,alexandria real estate equities presently average rating buy average price target 123.37 .
15,they sell,"news ceo stephen richardson sold 7,500 shares stock transaction friday august 3rd ."
16,they sell,"stock sold average price 126.66 total value 949,950.00 ."
17,they sell,"also insider daniel j. ryan sold 7,000 shares company stock transaction monday september 10th ."
18,they sell,"shares sold average price 127.66 total value 893,620.00 ."
19,they sell,"last ninety days insiders sold 76,250 shares company stock worth 9,731,103 ."
20,they buy,evercore isi set 148.00 target price shares alexandria real estate equities gave company buy rating research note monday october 15th .
21,they buy,barclays upped target price shares alexandria real estate equities 132.00 133.00 gave company overweight rating research note tuesday july 17th .
22,they buy,finally citigroup increased price objective shares alexandria real estate equities 127.00 133.00 gave stock neutral rating research report wednesday august 8th .
23,they buy,two analysts rated stock hold rating eight given buy rating company .
24,they buy,alexandria real estate equities presently average rating buy average price target 123.37 .
25,they sell,alexandria real estate equities news coo lawrence j. diamond sold 250 shares firm stock transaction dated thursday august 2nd .
26,they sell,"shares sold average price 126.99 total value 31,747.50 ."
27,they sell,"also ceo stephen richardson sold 7,500 shares firm stock transaction dated friday august 3rd ."
28,they sell,"shares sold average price 126.66 total transaction 949,950.00 ."
29,they sell,"insiders sold total 76,250 shares company stock valued 9,731,103 last quarter ."
