,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"15,544,000","15,454,000","15,195,000","16,034,000"
2,Cost of Revenue,"6,282,000","6,099,000","6,026,000","6,615,000"
3,Gross Profit,"9,262,000","9,355,000","9,169,000","9,419,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"5,443,000","5,408,000","5,172,000","5,400,000"
7,Non Recurring,-,-,-,-
8,Others,"60,000","36,000","23,000","75,000"
9,Total Operating Expenses,"11,785,000","11,543,000","11,221,000","12,090,000"
10,Operating Income or Loss,"3,759,000","3,911,000","3,974,000","3,944,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-295,000","-424,000","-236,000","-97,000"
13,Earnings Before Interest and Taxes,"3,759,000","3,911,000","3,974,000","3,944,000"
14,Interest Expense,"-143,000","-153,000","-149,000","-133,000"
15,Income Before Tax,"3,464,000","3,487,000","3,738,000","3,847,000"
16,Income Tax Expense,"906,000","1,313,000","1,152,000","1,215,000"
17,Minority Interest,"299,000","303,000","260,000","255,000"
18,Net Income From Continuing Ops,"2,558,000","2,174,000","2,586,000","2,632,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,400,000","2,024,000","2,441,000","1,384,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,400,000","2,024,000","2,441,000","1,384,000"
