,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"2,145,200","1,995,200","1,760,700","1,431,100"
2,Cost of Revenue,"783,800","699,900","612,000","516,000"
3,Gross Profit,"1,361,400","1,295,300","1,148,700","915,100"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"316,000","300,000","250,700","187,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"1,337,200","1,211,500","1,029,700","798,500"
10,Operating Income or Loss,"808,000","783,700","731,000","632,600"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-117,000","-130,000","-46,900","-70,100"
13,Earnings Before Interest and Taxes,"808,000","783,700","731,000","632,600"
14,Interest Expense,"-119,400","-120,000","-121,400","-70,000"
15,Income Before Tax,"691,000","653,700","684,100","562,500"
16,Income Tax Expense,"135,900","202,200","196,600","208,500"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"555,100","451,500","487,500","354,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"139,700","20,100","46,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"555,100","591,200","507,600","400,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"555,100","591,200","507,600","400,000"
