,0,1,2,3,4
0,Revenue,9/28/2018,9/29/2017,9/30/2016,10/2/2015
1,Total Revenue,"14,984,646","10,022,788","10,964,157","12,114,832"
2,Cost of Revenue,"12,156,276","8,250,536","9,196,326","10,146,494"
3,Gross Profit,"2,828,370","1,772,252","1,767,831","1,968,338"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,149,399","1,372,783","1,429,233","1,368,528"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"14,305,675","9,623,319","10,625,559","11,515,022"
10,Operating Income or Loss,"678,971","399,469","338,598","599,810"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-124,266","-6,252","-51,875","-169,673"
13,Earnings Before Interest and Taxes,"678,971","399,469","338,598","599,810"
14,Interest Expense,"-76,760","-12,035","-15,260","-19,503"
15,Income Before Tax,"554,705","393,217","286,723","430,137"
16,Income Tax Expense,"381,563","105,842","72,208","101,255"
17,Minority Interest,"90,009","58,999","64,906","64,713"
18,Net Income From Continuing Ops,"173,142","287,375","214,515","328,882"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"163,431","293,727","210,463","302,971"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"162,643","290,650","210,463","302,971"
