,0,1,2,3,4
0,Revenue,10/31/2017,10/31/2016,10/31/2015,10/31/2014
1,Total Revenue,"28,871,000","30,280,000","31,077,000","55,123,000"
2,Cost of Revenue,"20,177,000","20,507,000","21,013,000","39,486,000"
3,Gross Profit,"8,694,000","9,773,000","10,064,000","15,637,000"
4,Operating Expenses,,,,
5,Research Development,"1,486,000","1,714,000","1,676,000","2,197,000"
6,Selling General and Administrative,"5,006,000","5,380,000","5,142,000","8,717,000"
7,Non Recurring,-,-,-,-
8,Others,"3,000","-317,000","-317,000","-317,000"
9,Total Operating Expenses,"26,993,000","27,556,000","28,060,000","51,306,000"
10,Operating Income or Loss,"1,878,000","2,724,000","3,017,000","3,817,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,606,000","1,136,000","-1,082,000","-1,573,000"
13,Earnings Before Interest and Taxes,"1,878,000","2,724,000","3,017,000","3,817,000"
14,Interest Expense,"-334,000","-298,000","-9,000","-45,000"
15,Income Before Tax,"272,000","3,860,000","1,935,000","2,244,000"
16,Income Tax Expense,"-164,000","623,000","-705,000","596,000"
17,Minority Interest,"39,000","70,000","383,000","396,000"
18,Net Income From Continuing Ops,"436,000","3,237,000","2,640,000","1,648,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-92,000","-76,000","-179,000","-179,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"344,000","3,161,000","2,461,000","1,648,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"344,000","3,161,000","2,461,000","1,648,000"
