,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"20,428,000","17,509,000","19,110,000","19,221,000"
2,Cost of Revenue,"15,338,000","13,057,000","14,163,000","14,360,000"
3,Gross Profit,"5,090,000","4,452,000","4,947,000","4,861,000"
4,Operating Expenses,,,,
5,Research Development,"752,000","636,000","735,000","754,000"
6,Selling General and Administrative,"2,390,000","2,046,000","2,092,000","2,095,000"
7,Non Recurring,-,-,-,-
8,Others,"-49,000","-11,000","2,000","-6,000"
9,Total Operating Expenses,"18,431,000","15,728,000","16,992,000","17,203,000"
10,Operating Income or Loss,"1,997,000","1,781,000","2,118,000","2,018,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"368,000","149,000","-93,000","416,000"
13,Earnings Before Interest and Taxes,"1,997,000","1,781,000","2,118,000","2,018,000"
14,Interest Expense,"-81,000","-69,000","-65,000","-64,000"
15,Income Before Tax,"2,365,000","1,930,000","2,025,000","2,434,000"
16,Income Tax Expense,"1,371,000","474,000","555,000","698,000"
17,Minority Interest,"905,000","299,000","344,000","344,000"
18,Net Income From Continuing Ops,"994,000","1,456,000","1,470,000","1,736,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"999,000","1,394,000","1,399,000","1,651,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"999,000","1,394,000","1,399,000","1,651,000"
