,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"5,939,000","3,961,000","3,193,000","3,830,000"
2,Cost of Revenue,"2,784,000","2,251,000","2,184,000","2,442,000"
3,Gross Profit,"3,155,000","1,710,000","1,009,000","1,388,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"157,000","254,000","275,000","211,000"
7,Non Recurring,-,-,-,-
8,Others,"32,000","-445,000","326,000","-547,000"
9,Total Operating Expenses,"4,245,000","2,893,000","3,644,000","3,594,000"
10,Operating Income or Loss,"1,694,000","1,068,000","-451,000","236,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-531,000","362,000","-1,169,000","-8,246,000"
13,Earnings Before Interest and Taxes,"1,694,000","1,068,000","-451,000","236,000"
14,Interest Expense,"-351,000","-363,000","-397,000","-614,000"
15,Income Before Tax,"1,163,000","1,430,000","-1,620,000","-8,010,000"
16,Income Tax Expense,"94,000","603,000","-676,000","-2,845,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,069,000","827,000","-944,000","-5,165,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,069,000","827,000","-944,000","-5,165,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,069,000","827,000","-944,000","-5,165,000"
