,assoc,values
0,they buy,"featured article dollar cost averaging dca viewcount articlehistoryid=31702351 postdate=2019-3-9 type=a quinary=1 id=1174060 keyword national general nasdaq nghc nghc finance upgrade bidaskclubratings:3,6 nasdaq nghc analysts expect dollar general corp. nyse dg report earnings 1.87 per share current quarter zacks reports ."
1,they sell,"related news evp robert d. ravener sold 32,492 shares dollar general stock transaction occurred tuesday january 8th ."
2,they sell,"stock sold average price 111.63 total transaction 3,627,081.96 ."
3,they sell,zacks sales averages average based survey sell-side research firms provide coverage dollar general .
4,they buy,morgan stanley set 115.00 target price shares dollar general gave company buy rating research note wednesday december 26th .
5,they buy,valuengine upgraded dollar general hold rating buy rating report wednesday december 26th .
6,they buy,citigroup lowered price target dollar general 133.00 120.00 set buy rating company research report monday december 10th .
7,they buy,finally zacks investment research lowered dollar general buy rating hold rating research report wednesday november 28th .
8,they sell,two equities research analysts rated stock sell rating four assigned hold rating fourteen given buy rating one issued strong buy rating stock .
9,they buy,stock presently average rating buy average price target 111.58 .
10,they sell,"dollar general news evp robert d. ravener sold 32,492 shares company stock transaction occurred tuesday january 8th ."
11,they sell,"shares sold average price 111.63 total value 3,627,081.96 ."
12,they buy,finally patriot financial group insurance agency llc increased holdings dollar general 282.0 4th quarter .
13,they buy,zacks investment research lowered dollar general buy rating hold rating research note wednesday november 28th .
14,they buy,jpmorgan chase co. raised price objective dollar general 123.00 gave stock overweight rating research note wednesday january 9th .
15,they buy,citigroup raised price objective dollar general 120.00 144.00 gave stock buy rating research note wednesday .
16,they buy,finally morgan stanley set 115.00 price objective dollar general gave stock buy rating research note wednesday december 26th .
17,they sell,one investment analyst rated stock sell rating six given hold rating fifteen issued buy rating company .
18,they buy,dollar general consensus rating buy average target price 114.97 .
19,they sell,"news evp robert d. ravener sold 32,492 shares dollar general stock transaction tuesday january 8th ."
20,they sell,"stock sold average price 111.63 total value 3,627,081.96 ."
21,they sell,zacks investment research downgraded shares dollar general hold rating sell rating research note wednesday february 13th .
22,they buy,citigroup boosted price target shares dollar general 120.00 144.00 gave stock buy rating research note wednesday .
23,they buy,deutsche bank downgraded shares dollar general buy rating hold rating research note thursday february 28th .
24,they buy,finally valuengine cut shares dollar general buy rating hold rating research report wednesday december 5th .
25,they sell,one research analyst rated stock sell rating six given hold rating fifteen given buy rating company .
26,they buy,dollar general consensus rating buy consensus price target 114.97 .
27,they buy,blackrock inc. increased position shares dollar general 13.9 fourth quarter .
28,they buy,vanguard group inc. increased position shares dollar general 2.0 third quarter .
29,they sell,"dollar general news evp robert d. ravener sold 32,492 shares business stock transaction dated tuesday january 8th ."
30,they sell,"shares sold average price 111.63 total value 3,627,081.96 ."
31,they buy,jpmorgan chase co. lifted price objective dollar general 123.00 gave stock overweight rating report wednesday january 9th .
32,they buy,valuengine upgraded dollar general hold rating buy rating report wednesday december 26th .
33,they sell,zacks investment research cut dollar general hold rating sell rating report wednesday february 6th .
34,they sell,one research analyst rated stock sell rating six assigned hold rating fifteen issued buy rating company .
35,they buy,dollar general currently average rating buy consensus target price 114.97 .
36,they sell,"related news evp robert d. ravener sold 32,492 shares company stock transaction occurred tuesday january 8th ."
37,they sell,"stock sold average price 111.63 total value 3,627,081.96 ."
38,they buy,zacks investment research cut dollar general buy rating hold rating research note wednesday november 28th .
39,they buy,jpmorgan chase co. boosted target price dollar general 123.00 gave stock overweight rating research note wednesday january 9th .
40,they buy,morgan stanley set 115.00 target price dollar general gave stock buy rating research note wednesday december 26th .
41,they sell,one investment analyst rated stock sell rating six given hold rating fifteen issued buy rating company .
42,they buy,stock presently consensus rating buy average price target 113.71 .
43,they sell,"dollar general news evp robert d. ravener sold 32,492 shares dollar general stock transaction occurred tuesday january 8th ."
44,they sell,"stock sold average price 111.63 total transaction 3,627,081.96 ."
45,they buy,creative planning increased holdings shares dollar general 7.2 third quarter .
46,they buy,robeco institutional asset management b.v. increased holdings shares dollar general 0.8 third quarter .
47,they buy,finally synovus financial corp increased holdings shares dollar general 73.2 third quarter .
48,they buy,zacks investment research lowered dollar general buy rating hold rating research note wednesday november 28th .
49,they buy,jpmorgan chase co. lifted target price dollar general 123.00 gave stock overweight rating report wednesday january 9th .
50,they buy,morgan stanley set 115.00 target price dollar general gave stock buy rating report wednesday december 26th .
51,they sell,one research analyst rated stock sell rating six given hold rating fifteen given buy rating company .
52,they buy,stock currently consensus rating buy average price target 113.71 .
53,they sell,"news evp robert d. ravener sold 32,492 shares business stock transaction occurred tuesday january 8th ."
54,they sell,"stock sold average price 111.63 total transaction 3,627,081.96 ."
55,they buy,vanguard group inc increased holdings shares dollar general 2.0 third quarter .
56,they sell,"prudential financial inc. purchases 84,000 shares concho resources inc nyse cxo evotec evtcy lowered sell zacks investment research"
