,0,1,2,3,4
0,Revenue,1/28/2018,1/29/2017,1/31/2016,2/1/2015
1,Total Revenue,"2,649,181","2,344,392","2,060,523","1,797,213"
2,Cost of Revenue,"1,241,693","1,144,775","1,063,357","883,033"
3,Gross Profit,"1,407,488","1,199,617","997,166","914,180"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"911,581","770,151","640,048","544,547"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,153,274","1,914,926","1,703,405","1,427,580"
10,Operating Income or Loss,"495,907","429,466","357,118","369,633"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-35,909","-6,737","11,377","13,502"
13,Earnings Before Interest and Taxes,"495,907","429,466","357,118","369,633"
14,Interest Expense,-,"-1,700","-3,500","-3,500"
15,Income Before Tax,"459,998","422,729","368,495","383,135"
16,Income Tax Expense,"201,336","119,348","102,448","144,102"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"258,662","303,381","266,047","239,033"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"258,662","303,381","266,047","239,033"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"258,662","303,381","266,047","239,033"
