,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"17,656,000","17,470,000","17,900,000","18,031,000"
2,Cost of Revenue,"7,653,000","7,292,000","7,311,000","7,400,000"
3,Gross Profit,"10,003,000","10,178,000","10,589,000","10,631,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"3,962,000","3,891,000","3,821,000","3,776,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"15,497,000","15,099,000","15,321,000","15,514,000"
10,Operating Income or Loss,"2,159,000","2,371,000","2,579,000","2,517,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,619,000","-1,351,000","-1,263,000","-1,407,000"
13,Earnings Before Interest and Taxes,"2,159,000","2,371,000","2,579,000","2,517,000"
14,Interest Expense,"-1,481,000","-1,318,000","-1,312,000","-1,311,000"
15,Income Before Tax,"540,000","1,020,000","1,316,000","1,110,000"
16,Income Tax Expense,"-849,000","394,000","438,000","338,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,389,000","626,000","878,000","772,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,389,000","626,000","878,000","772,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,389,000","626,000","878,000","772,000"
