,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"18,628,000","16,403,000","14,830,000","14,607,000"
2,Cost of Revenue,"11,629,000","9,939,000","10,681,000","10,526,000"
3,Gross Profit,"6,999,000","6,464,000","4,149,000","4,081,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"443,000","529,000","575,000","558,000"
7,Non Recurring,-,-,-,-
8,Others,"89,000","244,000","14,000","78,000"
9,Total Operating Expenses,"14,020,000","12,519,000","13,863,000","14,546,000"
10,Operating Income or Loss,"4,608,000","3,884,000","967,000","61,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-708,000","-972,000","-4,428,000","-14,192,000"
13,Earnings Before Interest and Taxes,"4,608,000","3,884,000","967,000","61,000"
14,Interest Expense,"-575,000","-656,000","-755,000","-617,000"
15,Income Before Tax,"3,900,000","2,912,000","-3,461,000","-14,131,000"
16,Income Tax Expense,"991,000","883,000","371,000","-1,951,000"
17,Minority Interest,"8,094,000","3,319,000","3,206,000","4,980,000"
18,Net Income From Continuing Ops,"2,909,000","2,029,000","-3,832,000","-12,180,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-15,000","62,000","-256,000","12,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,602,000","1,817,000","-4,154,000","-12,236,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,598,000","1,813,000","-4,157,000","-12,239,000"
