Company,IntelCorporation,NVIDIACorporation,TexasInstrumentsIncorporated,BroadcomInc.,AMDAdvancedMicroDevicesInc.
MarketValue,$219M,$156M,$106M,$83M,$18M
CurrentLastSaleCLS,$47.11 ,$258.01 ,$108.69 ,$203.96 ,$19.44 
NetChange/%fromclose,1.01/2.1%,3.42/1.31%,1.655/1.5%,3.34/1.61%,0.585/2.92%
TargetPriceTP/CLS%ofTP,$24.45/193%,$11/2346%,$31/351%,N/A,$8/243%
ThisrowincludesthetargetpriceandtheCurrentLastSalesCLSpercentoftheTargetPriceTP.Thetargetpriceisdefinedastheanalystestimated1yeartargetprice.TheCLSpercentofTPcalculationisCurrentPrice/TargetPrice100,,,,,
52WeekHigh/%Change,$57.5995/-18%,$269.20/-4%,$120.75/-10%,$285.68/-29%,$20.28/-4%
Thisrowincludesthe52WeekHighandthe%changeofthe52WeekHighfromthecurrentlastsale.The52WeekHighisdefinedasthehighestendofdayvalueforthepastyear.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive0to5%Thismeansthatthestockistradingatornearits52weekhighthismightindicatethepossibilitythatthereisroomforfuturestockpriceincreasesPositive4.9%to10%Thismeansthatthestockistradingnearits52weekhighthismightindicatethepossibilitythatthereisroomforfuturestockpriceincreasesNeutral10to15%Thismeansthestockistradingatalevelthatdoesntprovideanyclearsignalforpricemovement.Negative16%to30%Thisindicatesthatthe%decreaseisatalevelthatmayindicateastockthatlackssupportforahigherstockprice.MoreNegative31to60%Thisindicatesthatthe%decreaseisatalevelthatmayindicateastockthatlackssupportforahigherstockprice.VeryNegative61%andbelowThisindicatesthatthe%decreaseisatalevelthatmayindicateastockthatlackssupportforahigherstockprice.,,,,,
52WeekLow/%Change,$34.38/37%,$157.37/64%,$79.60/37%,$197.4567/3%,$9.04/115%
Thisrowincludesthe52WeekLowandthe%changeofthe52WeekLowfromthecurrentlastsale.The52WeekLowisdefinedasthelowestendofdayvalueforthepastyear.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive15%andaboveThismeansitmightbetradingatadiscountoranalystsfeelthatthereisgrowthinthestockpricePositive2%to14.9%ThismeansitmightbetradingatadiscountoranalystsfeelthatthereisgrowthinthestockpriceNeutral0to1.9%ThismeansitistradingatornearthetargetpriceNegative-1%to-14.9%ThismeansthestockistradingabovethetargetpriceanditmightbetradingatapremiumMoreNegative-15%to-30%ThismeansthestockistradingabovethetargetpriceanditmightbetradingatapremiumVeryNegative-31%andbelowThismeansthestockistradingabovethetargetpriceanditmightbetradingatapremium,,,,,
Beta,1.67,1.99,1.29,1.2,2.73
ThisrowincludestheBeta.TheBetaisdefinedasameasureofthevolatilityofastockrelativetotheoverallmarket.Abetaoflessthanoneindicateslowerriskthanthemarket.Abetaofmorethanoneindicateshigherriskthanthemarket.NASDAQ.comusestheSP500astheunderlyingindextomeasuretheoverallmarketforbeta.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive.04andbelowIndicatesamuchlowerriskthanthemarketPositive.99to.05IndicatesalowerriskthanthemarketNeutral1to1.19IndicatesriskalignedwiththemarketNegative1.2-1.69IndicatesahigherriskthanthemarketMoreNegative1.7-1.99IndicatesamuchhigherriskthanthemarketVeryNegative2.0andaboveIndicatesamuchgreaterriskthanthemarket,,,,,
Volume,5771738,4616231,635514,811479,24203375
AvgDailyVolume,26142025,8416180,4350484,5511217,72218879
ShortInterest,83304069,11273456,15357143,10829120,167915660
%ofsharesoutstanding,1788%,1857%,1569%,2636%,17323%
Daystocover,3.327244,1.541532,3.255978,1.324073,1.915514
