,assoc,values
0,they sell,0.69 rally might tempting investor buy point fact would prove good idea sell-side analysts think almost 17.07 gain yet come shareholders .
1,they buy,current time stock 6 buy 8 hold ratings .
2,they buy,"squar milner financial services llc bought new position ppl 2nd quarter valued 125,000 ."
3,they buy,"westbourne investment advisors inc. bought new position ppl 3rd quarter valued 153,000 ."
4,they buy,zacks investment research downgraded shares ppl buy rating hold rating report tuesday october 9th .
5,they sell,valuengine raised shares ppl strong sell rating sell rating report saturday october 6th .
6,they sell,two research analysts rated stock sell rating six assigned hold rating five given buy rating company stock .
7,they buy,fmr llc increased stake ppl 89.2 2nd quarter .
8,they buy,zacks investment research lowered shares ppl buy rating hold rating research report tuesday october 9th .
9,they sell,finally valuengine upgraded shares ppl strong sell rating sell rating research report saturday october 6th .
10,they sell,two analysts rated stock sell rating six issued hold rating five issued buy rating company stock .
11,they buy,bank montreal increased position shares ppl corp nyse ppl 6.9 3rd quarter according company recent disclosure securities exchange commission .
12,they sell,zacks investment research upgraded shares ppl sell rating hold rating research note tuesday july 10th .
13,they buy,deutsche bank downgraded shares ppl buy rating hold rating research note wednesday august 8th .
14,they sell,two research analysts rated stock sell rating six assigned hold rating five assigned buy rating stock .
15,they buy,zacks investment research lowered shares ppl buy rating hold rating research note tuesday october 9th .
16,they sell,finally valuengine raised shares ppl strong sell rating sell rating research note saturday october 6th .
17,they sell,two equities research analysts rated stock sell rating six assigned hold rating five issued buy rating stock .
18,they sell,several institutional investors recently bought sold shares company .
19,they buy,zacks investment research lowered shares ppl buy rating hold rating research note tuesday october 9th .
20,they sell,finally valuengine raised shares ppl strong sell rating sell rating research note saturday october 6th .
21,they sell,two equities research analysts rated stock sell rating six assigned hold rating five issued buy rating stock .
22,they sell,currently 5.9 shares stock short sold .
23,they buy,zacks investment research lowered ppl buy rating hold rating research report tuesday october 9th .
24,they sell,valuengine upgraded ppl strong sell rating sell rating research report saturday october 6th .
25,they buy,deutsche bank lowered ppl buy rating hold rating research report wednesday august 8th .
26,they sell,two research analysts rated stock sell rating six given hold rating five issued buy rating company stock .
27,they sell,"name required mail published required staffieri victor chairman ppl subsidiary sold 4,232 shares ppl corporation nyse ppl exchange happened february 28th 2018. stock sold average price 29.20 per share amounting transaction worth 123,574 ."
28,they sell,"additionally svp gc corp sec raphael joanne h sold 2,205 shares stock transaction took place february 28th 2018. stock sold average price 29.19 per share total exchange amounting 64,362 ."
29,they sell,according composite indicator trendspotter rated sgen stock sell .
30,they sell,"short-term seattle genetics inc. sgen 20-day average volume 1,143,845 shares short-term indicators sets sgen stock 100 sell average basis ."
31,they sell,"medium-term sgen stock 50-day average volume 892,302 shares medium-term indicators gave average rating 50 sell long-term period fb stock 100-day average volume 877,807 shares ."
32,they sell,average long-term indicators rated stock 33 sell .
33,they sell,overall picture short medium long-term indicators sets sgen stock 72 sell average basis .
34,they sell,zacks investment research raised ppl sell rating hold rating research report tuesday july 10th .
35,they buy,deutsche bank cut ppl buy rating hold rating research report wednesday august 8th .
36,they sell,valuengine raised ppl strong sell rating sell rating research report saturday october 6th .
37,they sell,two research analysts rated stock sell rating six issued hold rating five issued buy rating company stock .
38,they sell,several hedge funds recently bought sold shares company .
39,they sell,institutional investors hedge funds also recently bought sold shares company .
40,they buy,archford capital strategies llc increased position ppl 444.8 2nd quarter .
41,they sell,zacks investment research upgraded shares ppl sell rating hold rating research report tuesday july 10th .
42,they buy,deutsche bank cut shares ppl buy rating hold rating research report wednesday august 8th .
43,they sell,two research analysts rated stock sell rating six issued hold rating five assigned buy rating stock .
44,they buy,0.19 eps expected genmark diagnostics inc gnmk quarter invesco ivz pt lowered 27.00 deutsche bank cornerstone wealth management llc increased stake ppl corp nyse ppl 10.3 3rd quarter according recent form 13f filing securities exchange commission sec .
45,they sell,google_ad_client ca-pub-0703139142419429 google_ad_slot 5621244306 google_ad_width 336 google_ad_height 280 c institutional investors also recently bought sold shares company .
46,they buy,"squar milner financial services llc bought new stake ppl second quarter worth approximately 125,000 ."
47,they buy,"westbourne investment advisors inc. bought new stake ppl third quarter worth approximately 153,000 ."
48,they sell,zacks investment research upgraded shares ppl sell rating hold rating report tuesday july 10th .
49,they buy,deutsche bank cut shares ppl buy rating hold rating report wednesday august 8th .
50,they sell,valuengine upgraded shares ppl strong sell rating sell rating report saturday october 6th .
51,they sell,two investment analysts rated stock sell rating six issued hold rating five assigned buy rating company .
52,they buy,ppl corp nyse ppl institutional sentiment increased 1.21 2018 q2 .
53,they sell,ratio improved 288 investment professionals increased started new stock positions 238 reduced sold stakes ppl corp. investment professionals partner database 542.38 million shares 482.80 million shares 2018q1 .
54,they sell,also number investment professionals holding ppl corp top 10 stock positions increased 1 3 increase 2. sold 48 reduced 190 increased 227 new position 61 .
55,they buy,"moreover corbyn investment management inc md 3.51 invested company 350,301 shares ."
56,they buy,pennsylvania-based symons capital management inc invested 2.11 stock .
57,they sell,5 wall street analysts rating ppl 1 give buy 0 sell rating 4 recommend hold .
58,they buy,ppl included 7 notes analysts june 8 2018. friday june 8 stock rating maintained ubs buy .
59,they sell,valuengine upgraded shares ppl nyse ppl strong sell rating sell rating research report sent investors saturday october 6th .
60,they buy,ubs group decreased price objective shares ppl 37.00 34.00 set buy rating stock report friday june 8th .
61,they sell,zacks investment research upgraded shares ppl sell rating hold rating research report tuesday july 10th .
62,they buy,deutsche bank downgraded shares ppl buy rating hold rating research report wednesday august 8th .
63,they sell,two investment analysts rated stock sell rating six assigned hold rating five assigned buy rating stock .
64,they buy,"mckinley carter wealth services inc. bought new position ppl 1st quarter valued 120,000 ."
65,they buy,"squar milner financial services llc bought new position ppl 2nd quarter valued 125,000 ."
66,they buy,"finally westbourne investment advisors inc. bought new position ppl 3rd quarter valued 153,000 ."
67,they buy,"keyword ppl nyse ppl ppl utilitie,69351t10 upgrade valuengineratings:3,11 nyse pplrefreshed3 receive news ratings ppl daily enter email address receive concise daily summary latest news analysts ratings ppl related companies marketbeat.com free daily email newsletter ."
68,they buy,ladenburg thalmann financial services inc. increased position ppl 11.0 1st quarter .
69,they buy,amundi pioneer asset management inc. increased position ppl 100.6 1st quarter .
70,they buy,"summit trail advisors llc increased position ppl 1,583.4 1st quarter ."
71,they buy,suntrust banks inc. increased position ppl 0.9 1st quarter .
72,they buy,finally gulf international bank uk ltd increased position ppl 5.9 2nd quarter .
73,they buy,zacks investment research cut ppl buy rating hold rating research report tuesday october 9th .
74,they sell,finally valuengine raised ppl strong sell rating sell rating research note saturday october 6th .
75,they sell,two equities research analysts rated stock sell rating six issued hold rating five assigned buy rating company stock .
76,they sell,sell-side analysts expect ppl corp post 2.34 earnings per share current year .
77,they sell,zacks investment research raised ppl sell rating hold rating research report tuesday july 10th .
78,they buy,deutsche bank lowered ppl buy rating hold rating research report wednesday august 8th .
79,they sell,valuengine raised ppl strong sell rating sell rating research report saturday october 6th .
80,they sell,two investment analysts rated stock sell rating six issued hold rating five given buy rating stock .
81,they buy,royal bank canada increased target price shares pembina pipeline c 52.00 c 54.00 gave stock outperform rating research report friday august 3rd .
82,they buy,four analysts rated stock buy rating one assigned strong buy rating company .
83,they buy,stock consensus rating buy average price target c 53.10 .
84,they buy,name required zacks investment research lowered shares ppl nyse ppl buy rating hold rating research report report published tuesday october 9th .
85,they buy,deutsche bank lowered shares ppl buy rating hold rating research report wednesday august 8th .
86,they buy,finally wells fargo co increased target price shares ppl 32.00 33.00 gave stock market perform rating research report monday september 17th .
87,they sell,two analysts rated stock sell rating six issued hold rating five given buy rating company stock .
88,they sell,"recommended story nasdaq stock market viewcount type=a id=1095875 get free copy zacks research report ppl ppl information research offerings zacks investment research visit zacks.com keyword ppl nyse ppl ppl utilitie,69351t10 downgrade zacks investment researchratings:3,11 nyse pplrefreshed2 receive news ratings ppl daily enter email address receive concise daily summary latest news analysts ratings ppl related companies marketbeat.com free daily email newsletter ."
89,they buy,analysts expect shutterfly inc. sfly announce earnings 2.60 per share civic crypto cvc trading 1.5 week iberiabank corp bought new stake ppl corp nyse ppl 3rd quarter according recent form 13f filing securities exchange commission .
90,they buy,"institutional investor bought 8,049 shares utilities provider stock valued approximately 236,000 ."
91,they buy,fmr llc increased position shares ppl 89.2 2nd quarter .
92,they buy,caisse de depot et placement du quebec increased position shares ppl 22.8 2nd quarter .
93,they buy,federated investors inc. pa increased position shares ppl 0.7 2nd quarter .
94,they buy,bank new york mellon corp increased position shares ppl 69.7 2nd quarter .
95,they buy,finally northern trust corp increased position shares ppl 1.2 2nd quarter .
96,they sell,sell-side analysts forecast ppl corp post 2.34 earnings per share current fiscal year .
97,they buy,zacks investment research raised ppl hold rating buy rating set 34.00 target price stock research report wednesday september 12th .
98,they buy,deutsche bank lowered shares ppl buy rating hold rating report wednesday august 8th .
99,they sell,two research analysts rated stock sell rating seven issued hold rating five given buy rating company stock .
100,they sell,average consensus rating company 2.5 scale 5 equates unanimous sell rating .
101,they sell,short mean analyst recommendations calling stock sell .
102,they sell,02/28/2018 raphael joanne h svp gc corp sec sold 2.21 thousand shares price per share 29.19 .
103,they sell,dudkin gregory n performs president ppl subsidiary job sold 9.32 thousand shares 295.16 thousand .
104,they sell,zacks investment research raised ppl sell rating hold rating report tuesday july 10th .
105,they buy,finally deutsche bank downgraded ppl buy rating hold rating research report wednesday august 8th .
106,they sell,two research analysts rated stock sell rating six given hold rating five issued buy rating stock .
107,they buy,zacks investment research upgraded ppl hold rating buy rating set 34.00 price target stock research report wednesday september 12th .
108,they sell,valuengine upgraded ppl strong sell rating sell rating research report saturday october 6th .
109,they buy,deutsche bank cut ppl buy rating hold rating report wednesday august 8th .
110,they sell,two research analysts rated stock sell rating six given hold rating five issued buy rating company .
111,they buy,finally zacks investment research raised shares ppl hold rating buy rating set 34.00 price objective company research report wednesday september 12th .
112,they sell,two analysts rated stock sell rating six issued hold rating five issued buy rating company .
113,they sell,several hedge funds institutional investors recently bought sold shares company .
114,they buy,fmr llc increased position ppl 89.2 second quarter .
