,0,1,2,3,4
0,Revenue,5/27/2018,5/28/2017,5/29/2016,5/31/2015
1,Total Revenue,"15,740,400","15,619,800","16,563,100","17,630,300"
2,Cost of Revenue,"10,287,600","9,970,600","10,597,700","11,608,300"
3,Gross Profit,"5,452,800","5,649,200","5,965,400","6,022,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,718,600","2,801,300","3,118,900","3,312,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"13,006,200","12,771,900","13,716,600","14,920,300"
10,Operating Income or Loss,"2,734,200","2,847,900","2,846,500","2,710,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-513,900","-491,600","-354,500","-863,800"
13,Earnings Before Interest and Taxes,"2,734,200","2,847,900","2,846,500","2,710,000"
14,Interest Expense,"-385,400","-302,100","-311,900","-328,600"
15,Income Before Tax,"2,220,300","2,356,300","2,492,000","1,846,200"
16,Income Tax Expense,"57,300","655,200","755,200","586,800"
17,Minority Interest,"1,127,500","1,268,500","1,222,500","1,174,900"
18,Net Income From Continuing Ops,"2,163,000","1,701,100","1,736,800","1,259,400"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,131,000","1,657,500","1,697,400","1,221,300"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,131,000","1,657,500","1,697,400","1,221,300"
