,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"4,304,000","4,155,573","3,934,629","3,766,065"
2,Cost of Revenue,"3,070,000","2,983,138","2,846,985","2,699,378"
3,Gross Profit,"1,234,000","1,172,435","1,087,644","1,066,687"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"9,000","9,300","9,300","9,700"
7,Non Recurring,-,-,-,-
8,Others,"230,793","210,921","196,438","185,494"
9,Total Operating Expenses,"3,350,000","3,240,393","3,079,049","2,923,236"
10,Operating Income or Loss,"954,000","915,180","855,580","842,829"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-91,000","-85,532","-83,345","-76,642"
13,Earnings Before Interest and Taxes,"954,000","915,180","855,580","842,829"
14,Interest Expense,"-90,000","-84,532","-83,345","-76,642"
15,Income Before Tax,"863,000","830,648","772,235","766,187"
16,Income Tax Expense,"162,000","-627,615","232,645","249,894"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"701,000","1,458,263","539,590","516,293"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"-3,769","10,189","10,807"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"701,000","1,454,494","549,779","527,100"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"701,000","1,454,494","549,779","527,100"
