,0,1,2,3,4
0,Revenue,9/30/2018,9/30/2017,9/30/2016,9/30/2015
1,Total Revenue,"17,408,000","15,264,000","14,522,000","16,249,000"
2,Cost of Revenue,"9,948,000","8,786,000","8,260,000","9,241,000"
3,Gross Profit,"7,460,000","6,478,000","6,262,000","7,008,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"4,258,000","3,618,000","3,464,000","3,735,000"
7,Non Recurring,-,-,-,-
8,Others,"296,000","169,000","192,000","206,000"
9,Total Operating Expenses,"14,502,000","12,573,000","11,916,000","13,182,000"
10,Operating Income or Loss,"2,906,000","2,691,000","2,606,000","3,067,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-239,000","-356,000","-290,000","740,000"
13,Earnings Before Interest and Taxes,"2,906,000","2,691,000","2,606,000","3,067,000"
14,Interest Expense,"-202,000","-201,000","-215,000","-198,000"
15,Income Before Tax,"2,667,000","2,335,000","2,316,000","3,807,000"
16,Income Tax Expense,"443,000","660,000","697,000","1,267,000"
17,Minority Interest,"43,000","52,000","50,000","47,000"
18,Net Income From Continuing Ops,"2,224,000","1,675,000","1,619,000","2,540,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"-125,000","45,000","193,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,203,000","1,518,000","1,635,000","2,710,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,203,000","1,518,000","1,635,000","2,710,000"
