,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"15,475,000","15,377,000","15,158,000","16,443,000"
2,Cost of Revenue,"12,010,000","11,640,000","10,915,000","12,156,000"
3,Gross Profit,"3,465,000","3,737,000","4,243,000","4,287,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,424,000","2,341,000","2,444,000","2,614,000"
7,Non Recurring,-,-,-,-
8,Others,"-22,000","3,000","23,000","23,000"
9,Total Operating Expenses,"14,412,000","13,984,000","13,382,000","14,770,000"
10,Operating Income or Loss,"1,063,000","1,393,000","1,776,000","1,673,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-52,000","-515,000","-569,000","-1,065,000"
13,Earnings Before Interest and Taxes,"1,063,000","1,393,000","1,776,000","1,673,000"
14,Interest Expense,"-321,000","-335,000","-372,000","-438,000"
15,Income Before Tax,"1,011,000","878,000","1,207,000","608,000"
16,Income Tax Expense,"303,000","513,000","-77,000","232,000"
17,Minority Interest,"206,000","247,000","218,000","222,000"
18,Net Income From Continuing Ops,"708,000","365,000","1,284,000","376,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"693,000","346,000","1,264,000","307,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"693,000","346,000","1,264,000","307,000"
