,0,1,2,3,4
0,Revenue,9/30/2018,9/30/2017,9/30/2016,9/30/2015
1,Total Revenue,"12,943,000","13,263,000","12,488,000","13,268,000"
2,Cost of Revenue,"6,879,000","7,292,000","6,684,000","6,290,000"
3,Gross Profit,"6,064,000","5,971,000","5,804,000","6,978,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"3,056,000","3,005,000","2,851,000","2,860,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"10,148,000","10,520,000","9,756,000","9,372,000"
10,Operating Income or Loss,"2,795,000","2,743,000","2,732,000","3,896,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-798,000","-531,000","-742,000","-1,393,000"
13,Earnings Before Interest and Taxes,"2,795,000","2,743,000","2,732,000","3,896,000"
14,Interest Expense,"-560,000","-618,000","-616,000","-657,000"
15,Income Before Tax,"1,997,000","2,212,000","1,990,000","2,503,000"
16,Income Tax Expense,"269,000","293,000","519,000","501,000"
17,Minority Interest,"304,000","332,000","264,000","280,000"
18,Net Income From Continuing Ops,"1,728,000","1,919,000","1,471,000","2,002,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"31,000","3,000","2,000","2,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,719,000","1,874,000","1,438,000","1,922,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,719,000","1,874,000","1,438,000","1,922,000"
