,assoc,values
0,they buy,late leading wall street professionals made devon energy corporation nyse dvn target in-depth analysis.additionally research note made public august 29th 2018 analysts barclays initiated common shares dvn stock overweight combined 12-month price target 49 .
1,they buy,average analysts currently moderate buy recommendation mean rating 3.67. comparison average recommendation month ago strong buy average rating 5.00. similarly average rating observed 2 months ago strong buy mean numerical rating 5.00 average rating observed 3 months ago strong buy mean numerical rating 5.00 .
2,they sell,drop might tempting investor sell point fact would prove short-sighted mistake sell-side analysts think almost 101.36 gain yet come shareholders .
3,they buy,turn street general positives still outweigh negatives see devon energy corporation dvn buy 2 analyst consensus rating .
4,they buy,current time stock 22 buy 9 hold ratings .
5,they sell,surge insider selling devon energy corporation nyse dvn picking steam current sell/buy ratio 2. dvn recorded 2 sales open market last three months .
6,they sell,"sold nearly 9,074 shares purchases amounted zero shares period ."
7,they sell,12-month totals signify 0.29-to-1 sell/buy ratio .
8,they sell,06/11/2018 taylor lyndon c evp general counsel sold 18.36 thousand shares price per share 42.09 .
9,they sell,taylor lyndon c performs evp general counsel job sold 12.8 thousand shares 490.04 thousand .
10,they sell,represents whopping 101.36 percent increase shares trading today.they sold nearly zero shares momentum oscillators front rsi touched 34.49 daily chart may remain cause comfort .
11,they sell,average consensus rating company 2 scale 5 equates unanimous sell rating .
12,they buy,short mean analyst recommendations calling stock buy .
13,they buy,ky skyscr adsbygoogle window.adsbygoogle .push posted darrell mckinsey nov 4th 2018 shares devon energy corp nyse dvn received consensus rating buy thirty ratings firms presently covering firm marketbeat reports .
14,they buy,six investment analysts rated stock hold rating twenty-four issued buy rating company .
15,they buy,jefferies financial group set 52.00 target price shares devon energy gave company buy rating report friday august 10th .
16,they buy,piper jaffray companies raised devon energy neutral rating overweight rating research note thursday september 27th .
17,they buy,stephens set 52.00 price objective devon energy gave company buy rating research report wednesday july 25th .
18,they buy,finally zacks investment research upgraded devon energy hold rating buy rating set 41.00 price objective company research report tuesday october 16th .
19,they sell,"devon energy news director robert h. henry sold 5,600 shares stock transaction occurred tuesday august 21st ."
20,they sell,"shares sold average price 42.14 total transaction 235,984.00 ."
21,they buy,"jackson grant investment advisers inc. bought new position devon energy 2nd quarter valued 112,000 ."
22,they buy,"automotive holdings group ltd ahg insider john mcconnell purchases 79,683 shares ehealth inc. ehth expected announce quarterly sales 34.10 million seaport global securities restated buy rating shares devon energy nyse dvn research report released wednesday october 17th ."
23,they buy,bmo capital markets reiterated buy rating issued 50.00 price objective shares devon energy report tuesday august 7th .
24,they buy,ubs group upgraded shares devon energy neutral rating buy rating set 53.00 target price stock report monday august 6th .
25,they buy,valuengine upgraded shares devon energy hold rating buy rating report wednesday june 27th .
26,they buy,stephens set 52.00 target price shares devon energy gave stock buy rating report wednesday july 25th .
27,they buy,set buy rating 59.00 target price stock .
28,they buy,six research analysts rated stock hold rating twenty-four issued buy rating company .
29,they buy,devon energy average rating buy average price target 49.65 .
30,they sell,"news director robert h. henry sold 5,600 shares business stock transaction dated tuesday august 21st ."
31,they sell,"shares sold average price 42.14 total value 235,984.00 ."
32,they buy,analysts set proqr therapeutics nv prqr pt 21.33 azz inc azz given 57.00 average price target brokerages devon energy nyse dvn upgraded equities researchers capital one financial equal weight rating overweight rating note issued investors wednesday october 24th marketbeat reports .
33,they buy,seaport global securities reaffirmed buy rating shares devon energy research note wednesday october 17th .
34,they buy,zacks investment research lowered shares devon energy buy rating hold rating research note wednesday october 17th .
35,they buy,piper jaffray companies raised shares devon energy neutral rating overweight rating research note thursday september 27th .
36,they buy,six investment analysts rated stock hold rating twenty-four given buy rating company .
37,they buy,stock presently average rating buy average price target 49.65 .
38,they sell,"news director robert h. henry sold 5,600 shares company stock transaction dated tuesday august 21st ."
39,they sell,"shares sold average price 42.14 total value 235,984.00 ."
40,they buy,"jackson grant investment advisers inc. bought new stake shares devon energy 2nd quarter valued 112,000 ."
41,they buy,"sns financial group llc bought new stake shares devon energy 2nd quarter valued 201,000 ."
42,they buy,"legacy capital partners inc. bought new stake shares devon energy 2nd quarter valued 202,000 ."
43,they buy,"finally hm payson co. bought new stake shares devon energy 2nd quarter valued 203,000 ."
44,they buy,ubs group upgraded shares devon energy neutral rating buy rating set 53.00 price objective stock research note monday august 6th .
45,they buy,piper jaffray companies upgraded shares devon energy neutral rating overweight rating research note thursday september 27th .
46,they buy,capital one financial upgraded shares devon energy equal weight rating overweight rating research note wednesday october 24th .
47,they buy,finally stifel nicolaus set 60.00 price target shares devon energy gave company buy rating research note thursday july 19th .
48,they buy,six investment analysts rated stock hold rating twenty-four assigned buy rating company stock .
49,they buy,company currently consensus rating buy consensus target price 49.65 .
50,they sell,"news director robert h. henry sold 5,600 shares stock transaction occurred tuesday august 21st ."
51,they sell,"shares sold average price 42.14 total value 235,984.00 ."
52,they sell,several institutional investors recently bought sold shares company .
53,they buy,piper jaffray companies raised devon energy neutral rating overweight rating research note thursday september 27th .
54,they buy,johnson rice raised devon energy accumulate rating buy rating research note wednesday august 15th .
55,they buy,ubs group raised devon energy neutral rating buy rating set 53.00 price objective company research note monday august 6th .
56,they buy,finally royal bank canada reissued buy rating shares devon energy research note friday july 13th .
57,they buy,six investment analysts rated stock hold rating twenty-four given buy rating stock .
58,they buy,company average rating buy consensus price target 49.65 .
59,they sell,"news director robert h. henry sold 5,600 shares firm stock transaction tuesday august 21st ."
60,they sell,"stock sold average price 42.14 total value 235,984.00 ."
61,they buy,piper jaffray companies overweight rating stock .
62,they buy,johnson rice raised shares devon energy accumulate rating buy rating report wednesday august 15th .
63,they buy,ubs group raised shares devon energy neutral rating buy rating set 53.00 price target company research note monday august 6th .
64,they buy,royal bank canada reaffirmed buy rating shares devon energy research note friday july 13th .
65,they buy,finally zacks investment research lowered shares devon energy buy rating hold rating research note wednesday july 25th .
66,they buy,six investment analysts rated stock hold rating twenty-four given buy rating company stock .
67,they buy,devon energy presently consensus rating buy consensus target price 49.65 .
68,they sell,"related news director robert h. henry sold 5,600 shares stock transaction occurred tuesday august 21st ."
69,they sell,"shares sold average price 42.14 total transaction 235,984.00 ."
70,they sell,"devon energy news director robert h. henry sold 5,600 shares company stock transaction occurred tuesday august 21st ."
71,they sell,"stock sold average price 42.14 total transaction 235,984.00 ."
72,they buy,"jafra capital management lp bought new position shares devon energy 2nd quarter worth approximately 3,297,000 ."
73,they buy,"finally gardner lewis asset management l p bought new position shares devon energy 2nd quarter worth approximately 1,864,000 ."
74,they sell,analyst recommendations making investment another main factor consider investing analyst recommendation scale 1 5 1 strong buy 2 buy 3 hold 4 sell 5 strong sell .
75,they buy,analyst recommend 2.4 met 2 dvn means met hold rating whereas dvn buy rating .
76,they sell,70.97 wall street brokerage firms rate devon energy corporation nyse dvn buy 0 others covering stock see sell .
77,they buy,getting trading period increased 200 days stock price seen 46.26 average .
78,they sell,number institutional investors hedge funds also recently bought sold shares stock .
79,they buy,ubs group raised shares devon energy neutral rating buy rating set 53.00 price objective stock research report monday august 6th .
80,they buy,piper jaffray companies raised shares devon energy neutral rating overweight rating research report thursday september 27th .
81,they buy,capital one financial raised shares devon energy equal weight rating overweight rating research report wednesday october 24th .
82,they buy,finally stifel nicolaus set 60.00 price objective shares devon energy gave company buy rating research report thursday july 19th .
83,they buy,six investment analysts rated stock hold rating twenty-four given buy rating company .
84,they buy,company currently average rating buy average target price 49.65 .
85,they sell,granite construction inc. gva expected earn q1 2019 earnings 0.17 per share paycom software payc shares gap following analyst downgrade shares devon energy corp nyse dvn received average recommendation buy thirty analysts covering company marketbeat ratings reports .
86,they buy,six investment analysts rated stock hold rating twenty-four given buy rating company .
87,they buy,piper jaffray companies upgraded devon energy neutral rating overweight rating report thursday september 27th .
88,they buy,johnson rice upgraded devon energy accumulate rating buy rating report wednesday august 15th .
89,they buy,ubs group upgraded devon energy neutral rating buy rating set 53.00 target price stock report monday august 6th .
90,they buy,finally royal bank canada reiterated buy rating shares devon energy report friday july 13th .
91,they sell,"news director robert h. henry sold 5,600 shares business stock transaction dated tuesday august 21st ."
92,they sell,"stock sold average price 42.14 total value 235,984.00 ."
93,they sell,according composite indicator trendspotter rated dvn stock sell .
94,they sell,"short-term devon energy corporation dvn 20-day average volume 6,949,140 shares short-term indicators sets dvn stock 80 sell average basis ."
95,they sell,"medium-term dvn stock 50-day average volume 6,652,196 shares medium-term indicators gave average rating 100 sell long-term period fb stock 100-day average volume 6,352,944 shares ."
96,they sell,average long-term indicators rated stock 100 sell .
97,they sell,overall picture short medium long-term indicators sets dvn stock 96 sell average basis .
98,they buy,capitalone example upgrade rating shares devon energy corporation equal weight overweight according research note wednesday october 24th 2018. giving stock overweight neutral rating stated research report friday september 28th 2018. barclays hand initiated overweight rating stock posting 49 price target shares company stock research note dated wednesday august 29th 2018 .
99,they sell,meantime 14 new institutions bought shares devon energy corporation first time 21 institutions sold holdings company common stock .
100,they buy,86 institutions increased investment dvn stock 110 institutions decreased investment devon energy corporation dvn stock last quarter .
