,0,1,2,3,4
0,Revenue,5/31/2018,5/31/2017,5/31/2016,5/31/2015
1,Total Revenue,"6,476,632","5,323,381","4,795,772","4,369,677"
2,Cost of Revenue,"3,568,109","2,943,086","2,694,432","2,476,754"
3,Gross Profit,"2,908,523","2,380,295","2,101,340","1,892,923"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,876,792","1,527,380","1,332,399","1,209,284"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"5,444,901","4,470,466","4,026,831","3,686,038"
10,Operating Income or Loss,"1,031,731","852,915","768,941","683,639"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-190,730","-165,511","-63,626","-43,083"
13,Earnings Before Interest and Taxes,"1,031,731","852,915","768,941","683,639"
14,Interest Expense,"-110,175","-86,524","-64,522","-65,161"
15,Income Before Tax,"841,001","687,404","705,315","640,556"
16,Income Tax Expense,"57,069","230,118","256,710","238,003"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"783,932","457,286","448,605","402,553"
19,Non-recurring Events,,,,
20,Discontinued Operations,"58,654","23,422","244,915","28,065"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"842,586","480,708","693,520","430,618"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"830,792","472,540","686,389","426,847"
