,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"3,975,454","3,311,494","2,444,540","2,163,056"
2,Cost of Revenue,"1,468,800","1,320,198","945,648","839,076"
3,Gross Profit,"2,506,654","1,991,296","1,498,892","1,323,980"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,884,141","1,599,004","1,089,184","962,677"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,608,542","3,159,373","2,096,801","1,848,884"
10,Operating Income or Loss,"366,912","152,121","347,739","314,172"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-185,791","-279,938","-59,308","-41,961"
13,Earnings Before Interest and Taxes,"366,912","152,121","347,739","314,172"
14,Interest Expense,"-126,774","-127,947","-27,565","-22,548"
15,Income Before Tax,"181,121","-127,817","288,431","272,211"
16,Income Tax Expense,"58,665","-131,096","94,849","96,576"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"122,456","3,279","193,582","175,635"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"122,456","3,279","193,582","175,635"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"122,456","3,279","193,582","175,635"
