,assoc,values
0,they buy,brokerage presently buy rating basic materials company stock .
1,they sell,jpmorgan chase co. lowered ecolab neutral rating underweight rating research report thursday june 28th .
2,they buy,boenning scattergood restated buy rating shares ecolab research report tuesday july 31st .
3,they sell,zacks investment research upgraded ecolab sell rating hold rating research report thursday august 2nd .
4,they buy,finally oppenheimer increased price target ecolab 153.00 156.00 gave stock outperform rating research report tuesday august 7th .
5,they buy,eight research analysts rated stock hold rating eleven assigned buy rating company stock .
6,they buy,company currently consensus rating buy average price target 150.81 .
7,they sell,sell-side analysts forecast ecolab post 5.36 eps current year .
8,they sell,"related news evp roberto inchaustegui sold 10,600 shares firm stock transaction thursday august 2nd ."
9,they sell,"stock sold average price 145.71 total transaction 1,544,526.00 ."
10,they sell,"insiders sold total 114,885 shares company stock worth 17,369,786 last ninety days ."
11,they buy,federated investors inc. pa increased holdings ecolab 57.6 1st quarter .
12,they buy,dimensional fund advisors lp increased holdings ecolab 0.9 1st quarter .
13,they buy,principal financial group inc. increased holdings ecolab 3.5 1st quarter .
14,they buy,"institutional family asset management llc bought new position ecolab 1st quarter worth 411,000 ."
15,they buy,finally bb securities llc increased holdings ecolab 5.7 1st quarter .
16,they sell,several large investors also recently bought sold shares company .
17,they buy,zacks investment research upgraded shares ecolab hold rating buy rating set 176.00 target price company report wednesday october 10th .
18,they buy,canaccord genuity set 160.00 price target shares ecolab gave company buy rating research report tuesday july 24th .
19,they buy,ubs group increased price target shares ecolab 165.00 180.00 gave company buy rating research report tuesday october 2nd .
20,they sell,jpmorgan chase co. upgraded shares ecolab underweight rating neutral rating research report wednesday august 1st .
21,they buy,set buy rating 123.00 target price company .
22,they buy,eight equities research analysts rated stock hold rating eleven issued buy rating company .
23,they buy,ecolab presently consensus rating buy average target price 150.81 .
24,they sell,sell-side analysts predict ecolab inc. post 5.36 eps current year .
25,they buy,boenning scattergood reiterated buy rating shares ecolab report tuesday july 31st .
26,they buy,barclays lifted price target ecolab 150.00 165.00 gave company overweight rating report wednesday .
27,they sell,zacks investment research lowered ecolab hold rating sell rating report tuesday july 24th .
28,they buy,eight analysts rated stock hold rating eleven issued buy rating company .
29,they buy,ecolab average rating buy average price target 150.81 .
30,they buy,"shares bought average cost 146.40 per share total value 73,200.00 ."
31,they sell,"also evp michael a. hickey sold 32,468 shares ecolab stock transaction occurred thursday september 13th ."
32,they sell,"stock sold average price 155.80 total value 5,058,514.40 ."
33,they sell,"insiders sold total 114,885 shares company stock worth 17,369,786 last three months ."
34,they sell,"related news director victoria reich sold 6,700 shares stock transaction thursday august 9th ."
35,they sell,"stock sold average price 148.40 total transaction 994,280.00 ."
36,they buy,"shares bought average price 146.40 per share total transaction 73,200.00 ."
37,they sell,"insiders sold total 114,885 shares company stock worth 17,369,786 last 90 days ."
38,they buy,baillie gifford co. increased stake ecolab 18.8 second quarter .
39,they buy,holdings securities inc. increased stake ecolab 9.5 second quarter .
40,they buy,bailard inc. increased position shares ecolab 6.1 second quarter .
41,they buy,gyroscope capital management group llc increased position shares ecolab 19.5 third quarter .
42,they buy,motley fool asset management llc increased position shares ecolab 13.6 second quarter .
43,they buy,rational advisors llc increased position shares ecolab 24.5 first quarter .
44,they buy,finally smithbridge asset management inc. de increased position shares ecolab 1.9 second quarter .
45,they sell,"also director victoria reich sold 6,700 shares business stock transaction thursday august 9th ."
