,0,1,2,3,4
0,Revenue,9/30/2018,9/30/2017,9/30/2016,9/30/2015
1,Total Revenue,"16,285,100","14,859,700","14,171,800","11,124,800"
2,Cost of Revenue,"12,890,200","12,093,000","11,405,100","8,921,800"
3,Gross Profit,"3,394,900","2,766,700","2,766,700","2,203,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,466,300","1,399,600","1,379,400","1,014,600"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"14,653,100","13,722,200","12,996,300","10,055,300"
10,Operating Income or Loss,"1,632,000","1,137,500","1,175,500","1,069,500"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-597,200","-279,900","-930,900","-335,300"
13,Earnings Before Interest and Taxes,"1,632,000","1,137,500","1,175,500","1,069,500"
14,Interest Expense,"-293,800","-222,500","-212,500","-132,500"
15,Income Before Tax,"1,034,800","857,600","244,600","734,200"
16,Income Tax Expense,"-874,500","159,000","89,800","233,000"
17,Minority Interest,"17,200","48,300","114,900","146,300"
18,Net Income From Continuing Ops,"1,909,300","698,600","154,800","501,200"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"-544,700","10,600"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,906,100","708,200","-396,300","507,100"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,905,900","708,100","-396,300","507,100"
