,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"121,615,000","118,243,000","119,468,000","115,834,000"
2,Cost of Revenue,"98,396,000","106,858,000","94,886,000","90,111,000"
3,Gross Profit,"23,219,000","11,385,000","24,582,000","25,723,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"15,134,000","15,389,000","14,707,000","16,327,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"113,530,000","122,247,000","109,593,000","106,438,000"
10,Operating Income or Loss,"8,085,000","-4,004,000","9,875,000","9,396,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-28,220,000","-7,147,000","-2,843,000","-1,211,000"
13,Earnings Before Interest and Taxes,"8,085,000","-4,004,000","9,875,000","9,396,000"
14,Interest Expense,"-2,708,000","-2,753,000","-2,026,000","-1,706,000"
15,Income Before Tax,"-20,135,000","-11,151,000","7,032,000","8,185,000"
16,Income Tax Expense,"583,000","-2,611,000","-1,133,000","6,485,000"
17,Minority Interest,"20,882,000","20,859,000","4,688,000","4,836,000"
18,Net Income From Continuing Ops,"-20,718,000","-8,540,000","8,165,000","1,700,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-1,726,000","-309,000","-954,000","-7,807,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-22,355,000","-8,484,000","7,500,000","-6,126,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-22,809,000","-8,944,000","6,829,000","-6,135,000"
