,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"3,047,597","2,488,652","1,702,177","1,032,336"
2,Cost of Revenue,"1,826,015","1,439,744","1,258,150","1,120,434"
3,Gross Profit,"1,221,582","1,048,908","444,027","-88,098"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"557,616","496,079","432,829","376,575"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,383,631","1,935,823","1,690,979","1,497,009"
10,Operating Income or Loss,"663,966","552,829","11,198","-464,673"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-63,725","-568,518","-78,564","-93,127"
13,Earnings Before Interest and Taxes,"663,966","552,829","11,198","-464,673"
14,Interest Expense,"-34,119","-57,550","-81,432","-84,206"
15,Income Before Tax,"600,241","-15,689","-67,366","-557,800"
16,Income Tax Expense,"-1,486,862","-107,324","16,665","30,381"
17,Minority Interest,-,"13,727","181,609","153,661"
18,Net Income From Continuing Ops,"2,087,103","91,635","-84,031","-588,181"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,096,896","263,484","-112,052","-556,334"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,096,395","263,191","-112,052","-556,334"
