,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"2,174,607","2,087,833","2,177,882","1,966,985"
2,Cost of Revenue,"982,798","888,372","854,017","837,022"
3,Gross Profit,"1,191,809","1,199,461","1,323,865","1,129,963"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"141,871","150,782","143,643","149,256"
7,Non Recurring,-,-,-,-
8,Others,"-2,144","-8,171","-8,770","-23,369"
9,Total Operating Expenses,"1,569,095","1,460,372","1,409,913","1,342,712"
10,Operating Income or Loss,"605,512","627,461","767,969","624,273"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-145,914","-307,730","-183,036","-73,366"
13,Earnings Before Interest and Taxes,"605,512","627,461","767,969","624,273"
14,Interest Expense,"-347,949","-345,654","-330,240","-309,298"
15,Income Before Tax,"459,598","319,731","584,933","550,907"
16,Income Tax Expense,"37,633","42,375","7,923","-85,012"
17,Minority Interest,"1,426,214","1,654,986","1,998,423","2,007,704"
18,Net Income From Continuing Ops,"421,965","277,356","577,010","635,919"
19,Non-recurring Events,,,,
20,Discontinued Operations,638,"-13,228","404,912","223,511"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"449,954","227,416","906,917","760,434"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"384,788","161,971","823,510","679,775"
