,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"4,130,000","3,685,000","4,308,000","4,743,000"
2,Cost of Revenue,"3,700,000","2,845,000","2,761,000","2,965,000"
3,Gross Profit,"430,000","840,000","1,547,000","1,778,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"192,000","174,000","170,000","152,000"
7,Non Recurring,-,-,-,-
8,Others,"13,000","105,000","57,000","25,000"
9,Total Operating Expenses,"3,905,000","3,124,000","2,988,000","3,142,000"
10,Operating Income or Loss,"225,000","561,000","1,320,000","1,601,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-350,000","-787,000","-190,000","609,000"
13,Earnings Before Interest and Taxes,"225,000","561,000","1,320,000","1,601,000"
14,Interest Expense,"-315,000","-200,000","-133,000","-178,000"
15,Income Before Tax,"-125,000","-226,000","1,130,000","2,210,000"
16,Income Tax Expense,"-575,000","-68,000","396,000","773,000"
17,Minority Interest,"3,105,000","3,144,000","352,000","362,800"
18,Net Income From Continuing Ops,"450,000","-158,000","734,000","1,437,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"358,000","-277,000","700,000","1,390,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"358,000","-277,000","700,000","1,390,000"
