,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"4,647,500","5,027,200","4,990,100","4,857,800"
2,Cost of Revenue,"1,904,700","1,955,100","1,885,600","1,777,100"
3,Gross Profit,"2,742,800","3,072,100","3,104,500","3,080,700"
4,Operating Expenses,,,,
5,Research Development,"1,000,400","980,700","1,013,700","994,500"
6,Selling General and Administrative,"1,151,500","1,162,600","1,186,000","1,172,700"
7,Non Recurring,-,-,-,-
8,Others,"7,000","7,000","7,000","7,000"
9,Total Operating Expenses,"4,063,600","4,098,400","4,085,300","3,944,300"
10,Operating Income or Loss,"583,900","928,800","904,800","913,500"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-51,200","-117,000","-77,400","-61,300"
13,Earnings Before Interest and Taxes,"583,900","928,800","904,800","913,500"
14,Interest Expense,-,"-101,200","-97,700","-83,300"
15,Income Before Tax,"532,700","811,800","827,400","852,200"
16,Income Tax Expense,"-34,200","505,600","234,700","218,500"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"566,900","306,200","592,700","633,700"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"566,900","306,200","592,700","633,700"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"566,900","306,200","592,700","633,700"
