,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"4,864,985","4,476,412","3,904,384","4,501,223"
2,Cost of Revenue,"3,273,962","3,068,552","2,764,217","2,811,973"
3,Gross Profit,"1,591,023","1,407,860","1,140,167","1,689,250"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"455,055","372,733","379,209","319,471"
7,Non Recurring,-,-,-,-
8,Others,"680,031","545,299","538,984","445,706"
9,Total Operating Expenses,"4,507,878","4,162,273","3,845,940","3,724,440"
10,Operating Income or Loss,"357,107","314,139","58,444","776,783"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-88,671","-38,396","-19,705","-6,916"
13,Earnings Before Interest and Taxes,"357,107","314,139","58,444","776,783"
14,Interest Expense,-,-,-,-
15,Income Before Tax,"268,436","275,743","38,739","769,867"
16,Income Tax Expense,"91,883","99,490","15,801","294,265"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"176,553","176,253","22,938","475,602"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"176,553","176,253","22,938","475,602"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"176,553","176,253","22,938","475,602"
