,0,1,2,3,4
0,Revenue,6/30/2018,6/30/2017,6/30/2016,6/30/2015
1,Total Revenue,"6,124,000","5,973,000","5,761,000","5,655,000"
2,Cost of Revenue,"3,449,000","3,302,000","3,163,000","3,190,000"
3,Gross Profit,"2,675,000","2,671,000","2,598,000","2,465,000"
4,Operating Expenses,,,,
5,Research Development,"132,000","135,000","141,000","136,000"
6,Selling General and Administrative,"1,407,000","1,409,000","1,393,000","1,321,000"
7,Non Recurring,-,-,-,-
8,Others,"7,000","18,000","13,000","6,000"
9,Total Operating Expenses,"4,995,000","4,864,000","4,710,000","4,653,000"
10,Operating Income or Loss,"1,129,000","1,109,000","1,051,000","1,002,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-75,000","-76,000","-68,000","-81,000"
13,Earnings Before Interest and Taxes,"1,129,000","1,109,000","1,051,000","1,002,000"
14,Interest Expense,"-85,000","-88,000","-88,000","-100,000"
15,Income Before Tax,"1,054,000","1,033,000","983,000","921,000"
16,Income Tax Expense,"231,000","330,000","335,000","315,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"823,000","703,000","648,000","606,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"-2,000","-2,000","-26,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"823,000","701,000","648,000","580,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"823,000","701,000","648,000","580,000"
