,0,1,2,3,4
0,Revenue,6/30/2018,6/30/2017,6/30/2016,6/30/2015
1,Total Revenue,"9,398,000","7,650,300","4,349,100","4,395,200"
2,Cost of Revenue,"3,545,400","2,877,900","1,724,500","1,752,400"
3,Gross Profit,"5,852,600","4,772,400","2,624,600","2,642,800"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"4,852,800","4,022,600","2,003,000","2,036,900"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"8,751,000","7,175,600","3,807,000","3,864,000"
10,Operating Income or Loss,"647,000","474,700","542,100","531,200"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-799,500","-1,132,700","-403,300","-297,900"
13,Earnings Before Interest and Taxes,"647,000","474,700","542,100","531,200"
14,Interest Expense,"-287,100","-219,600","-112,900","-72,300"
15,Income Before Tax,"-152,500","-658,000","138,800","233,300"
16,Income Tax Expense,"-24,700","-259,500","-40,400","-26,100"
17,Minority Interest,"666,800","554,100","80,200","101,200"
18,Net Income From Continuing Ops,"-127,800","-398,500","179,200","259,400"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-168,800","-422,200","156,900","232,500"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-168,800","-422,200","156,900","232,500"
