,0,1,2,3,4
0,Revenue,12/30/2017,12/31/2016,12/26/2015,12/27/2014
1,Total Revenue,"63,525,000","62,799,000","63,056,000","66,683,000"
2,Cost of Revenue,"28,785,000","28,209,000","28,731,000","31,238,000"
3,Gross Profit,"34,740,000","34,590,000","34,325,000","35,445,000"
4,Operating Expenses,,,,
5,Research Development,"737,000","760,000","754,000","754,000"
6,Selling General and Administrative,"23,425,000","23,347,000","23,562,000","25,287,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"52,947,000","52,316,000","53,047,000","56,617,000"
10,Operating Income or Loss,"10,578,000","10,483,000","10,009,000","10,066,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-976,000","-1,930,000","-2,567,000","-1,309,000"
13,Earnings Before Interest and Taxes,"10,578,000","10,483,000","10,009,000","10,066,000"
14,Interest Expense,"-1,151,000","-1,342,000","-970,000","-909,000"
15,Income Before Tax,"9,602,000","8,553,000","7,442,000","8,757,000"
16,Income Tax Expense,"4,694,000","2,174,000","1,941,000","2,199,000"
17,Minority Interest,"92,000","104,000","107,000","110,000"
18,Net Income From Continuing Ops,"4,908,000","6,379,000","5,501,000","6,558,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"4,857,000","6,329,000","5,452,000","6,513,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"4,853,000","6,323,000","5,446,000","6,503,000"
