,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"16,195,700","15,424,900","16,380,100","16,453,200"
2,Cost of Revenue,"10,013,100","8,937,100","9,924,900","10,137,400"
3,Gross Profit,"6,182,600","6,487,800","6,455,200","6,315,800"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"-124,500","-124,500","-124,500","-124,500"
7,Non Recurring,-,-,-,-
8,Others,"1,142,700","1,059,400","1,018,000","972,600"
9,Total Operating Expenses,"13,317,900","11,993,700","12,905,200","13,119,700"
10,Operating Income or Loss,"2,877,800","3,431,200","3,474,900","3,333,500"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-831,200","-532,600","-2,928,100","-645,300"
13,Earnings Before Interest and Taxes,"2,877,800","3,431,200","3,474,900","3,333,500"
14,Interest Expense,"-984,400","-895,000","-877,200","-873,900"
15,Income Before Tax,"2,046,600","2,898,600","546,800","2,688,200"
16,Income Tax Expense,"115,300","969,700","-73,700","919,600"
17,Minority Interest,"31,000","26,600","23,100","13,200"
18,Net Income From Continuing Ops,"1,931,300","1,928,900","620,500","1,768,600"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"-2,500","283,700"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,923,800","1,912,600","610,900","2,047,100"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,923,800","1,912,600","610,900","2,047,100"
