,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"37,736,000","36,556,000","37,864,000","38,901,000"
2,Cost of Revenue,"24,907,000","22,879,000","24,133,000","27,890,000"
3,Gross Profit,"12,829,000","13,677,000","13,731,000","11,011,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,566,000","1,523,000","1,543,000","1,552,000"
7,Non Recurring,-,-,-,-
8,Others,"5,440,000","5,201,000","4,877,000","4,964,000"
9,Total Operating Expenses,"34,062,000","31,580,000","32,372,000","36,085,000"
10,Operating Income or Loss,"3,674,000","4,976,000","5,492,000","2,816,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-675,000","-1,157,000","-1,273,000","-1,688,000"
13,Earnings Before Interest and Taxes,"3,674,000","4,976,000","5,492,000","2,816,000"
14,Interest Expense,"-559,000","-542,000","-620,000","-683,000"
15,Income Before Tax,"2,999,000","3,819,000","4,219,000","1,128,000"
16,Income Tax Expense,"868,000","1,556,000","-3,121,000","-4,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,131,000","2,263,000","7,340,000","1,132,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,131,000","2,263,000","7,340,000","1,132,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,131,000","2,263,000","7,340,000","1,132,000"
