,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"7,017,000","6,608,000","4,664,000","4,408,000"
2,Cost of Revenue,"2,501,000","2,394,000","1,585,000","1,525,000"
3,Gross Profit,"4,516,000","4,214,000","3,079,000","2,883,000"
4,Operating Expenses,,,,
5,Research Development,"1,069,000","958,000","646,000","571,000"
6,Selling General and Administrative,"2,108,000","1,797,000","1,109,000","1,116,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"5,678,000","5,149,000","3,340,000","3,212,000"
10,Operating Income or Loss,"1,339,000","1,459,000","1,324,000","1,196,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-188,000","-353,000","-203,000","-215,000"
13,Earnings Before Interest and Taxes,"1,339,000","1,459,000","1,324,000","1,196,000"
14,Interest Expense,"-162,000","-217,000","-200,000","-208,000"
15,Income Before Tax,"1,151,000","1,106,000","1,121,000","981,000"
16,Income Tax Expense,"878,000","140,000","229,000","146,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"273,000","966,000","892,000","835,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"273,000","966,000","892,000","835,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"273,000","962,000","881,000","817,000"
