,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"8,031,600","7,473,500","7,452,300","7,613,800"
2,Cost of Revenue,"6,289,300","5,906,800","5,860,900","4,854,800"
3,Gross Profit,"1,742,300","1,566,700","1,591,400","2,759,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"502,100","484,900","500,600","1,884,200"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"6,994,300","6,548,800","6,521,700","6,739,000"
10,Operating Income or Loss,"1,037,300","924,700","930,600","874,800"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-99,200","-83,000","-104,700","-111,500"
13,Earnings Before Interest and Taxes,"1,037,300","924,700","930,600","874,800"
14,Interest Expense,"-123,000","-90,800","-90,600","-85,800"
15,Income Before Tax,-,"841,700","825,900","763,300"
16,Income Tax Expense,-,"271,300","196,900","282,800"
17,Minority Interest,"207,500","286,900","292,400","288,200"
18,Net Income From Continuing Ops,-,"570,400","629,000","480,500"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,-,"554,400","605,000","454,600"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,-,"554,400","605,000","454,600"
