,0,1,2,3,4
0,Revenue,3/31/2018,3/31/2017,3/31/2016,3/31/2015
1,Total Revenue,"4,235,000","4,036,000","4,025,000","4,262,000"
2,Cost of Revenue,"600,000","573,000","583,000","635,000"
3,Gross Profit,"3,635,000","3,463,000","3,442,000","3,627,000"
4,Operating Expenses,,,,
5,Research Development,"574,000","586,000","560,000","603,000"
6,Selling General and Administrative,"1,467,000","1,403,000","1,373,000","1,437,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,019,000","2,882,000","2,875,000","3,056,000"
10,Operating Income or Loss,"1,216,000","1,154,000","1,150,000","1,206,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-195,000","-81,000","-66,000","-91,000"
13,Earnings Before Interest and Taxes,"1,216,000","1,154,000","1,150,000","1,206,000"
14,Interest Expense,"-127,000","-90,000","-81,000","-77,000"
15,Income Before Tax,"1,021,000","1,073,000","1,084,000","1,115,000"
16,Income Tax Expense,"545,000","298,000","315,000","305,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"476,000","775,000","769,000","810,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"14,000","36,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"476,000","775,000","783,000","846,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"470,000","766,000","775,000","838,000"
