,assoc,values
0,they buy,zacks investment research upgraded extra space storage hold rating buy rating set 103.00 price objective stock report wednesday january 16th .
1,they buy,valuengine downgraded extra space storage buy rating hold rating report friday february 22nd .
2,they sell,one research analyst rated stock sell rating eight given hold rating four assigned buy rating company stock .
3,they sell,invitation homes invh sets new 52-week high 25.00 zacks investment research upgraded shares extra space storage nyse exr sell rating hold rating report published tuesday zacks.com reports .
4,they buy,valuengine raised shares extra space storage hold rating buy rating research note wednesday march 6th .
5,they sell,one investment analyst rated stock sell rating eight assigned hold rating four issued buy rating company stock .
6,they sell,"extra space storage news ceo joseph d. margolis sold 2,500 shares firm stock transaction occurred monday april 1st ."
7,they sell,"shares sold average price 100.05 total value 250,125.00 ."
8,they sell,also evp james overturf sold 880 shares firm stock transaction occurred tuesday april 16th .
9,they sell,"shares sold average price 100.84 total transaction 88,739.20 ."
10,they sell,"last ninety days insiders sold 130,694 shares company stock worth 12,525,301 ."
11,they buy,"get free copy zacks research report extra space storage exr information research offerings zacks investment research visit zacks.com keyword extra space storage nyse exr exr finance,30225t10 upgrade zacks investment researchratings:3,11 nyse exr receive news ratings extra space storage daily enter email address receive concise daily summary latest news analysts ratings extra space storage related companies marketbeat.com free daily email newsletter ."
12,they buy,sierra oncology srra stock rating lowered zacks investment research conning inc. bought new position shares extra space storage inc. nyse exr first quarter according recent filing securities exchange commission .
13,they buy,"institutional investor bought 2,230 shares real estate investment trust stock valued approximately 227,000 ."
14,they sell,zacks investment research lowered shares extra space storage hold rating sell rating report wednesday april 10th .
15,they buy,finally valuengine raised shares extra space storage hold rating buy rating research report wednesday march 6th .
16,they sell,one equities research analyst rated stock sell rating eight assigned hold rating four issued buy rating stock .
17,they sell,extra space storage news evp james overturf sold 880 shares stock transaction tuesday april 16th .
18,they sell,"shares sold average price 100.84 total value 88,739.20 ."
19,they sell,"also director spencer kirk sold 45,000 shares stock transaction thursday february 28th ."
20,they sell,"shares sold average price 95.92 total transaction 4,316,400.00 ."
21,they sell,"last ninety days insiders sold 130,694 shares company stock valued 12,525,301 ."
22,they buy,innovator p 500 power buffer etf october poct holdings boosted cwm llc price rowe associates inc increased stake extra space storage inc exr 6.51 based latest 2018q4 regulatory filing sec .
23,they buy,"price rowe associates inc bought 14,210 shares company stock rose 2.68 market ."
24,they buy,stock increased 0.39 0.4 last trading session reaching 102.21 .
25,they buy,historical exr news 24/05/2018 extra space storage raises dividend 10.3 01/05/2018 extra space storage 1q eps 70c 01/05/2018 extra space storage 1q rev 285.5m 08/05/2018 extra space storage inc exr.n ubs raises target price 92 86 24/05/2018 extra space storage inc exr.n sets quarterly dividend 0.86/shr 01/05/2018 extra space sees fy ffo/shr 4.53 4.62 01/05/2018 extra space storage sees 2018 ffo 4.53/shr-ffo 4.62/shr 21/04/2018 dj extra space storage inc inst holders 1q 2018 exr cognios capital llc increased stake ppl corp ppl 30.45 based latest 2018q4 regulatory filing sec .
26,they buy,"cognios capital llc bought 17,271 shares company stock rose 4.89 market ."
27,they sell,historical ppl news 20/03/2018 ppl corp backs compound annual eps growth 5 6 2020 03/05/2018 ppl reaffirms view 5 compound annual eps growth 2018-2020 04/04/2018 facebook 87m ppl data may improperly shared 30/04/2018 ppl corp supportive ofgem decision forgo mid-period review 03/05/2018 ppl corp 1q net 452m 13/03/2018 vectren draws three suitors second round 30/04/2018 ppl corporation supportive ofgem decision forgo mid-period review 08/05/2018 ppl issue-sell forward counterparties 55m shrs 03/05/2018 ppl corp targeting lower end equity financing needs 03/05/2018 ppl corp reaffirms 2018 earnings ongoing operations forecast range 2.20 2.40 per share investors sentiment increased 1.05 2018 q4 .
28,they sell,increased 42 investors sold ppl shares 207 reduced holdings .
29,they buy,ubs asset management americas inc invested 0 ppl corporation nyse ppl .
30,they buy,pennsylvania-based mycio wealth prtn limited company invested 0.7 ppl corporation nyse ppl .
31,they buy,pnc financial svcs gp invested 0.03 portfolio ppl corporation nyse ppl .
32,they buy,"moreover wright 0.35 invested ppl corporation nyse ppl 28,760 shares ."
33,they buy,"nexus inv management inc invested 12,800 shares 0.06 stock ."
34,they buy,us bank trust de invested 0.01 ppl corporation nyse ppl .
35,they buy,"moreover wheatland 1.63 invested ppl corporation nyse ppl 65,988 shares ."
36,they sell,dived 31 investors sold exr shares 144 reduced holdings .
