,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"5,640,019","5,538,640","5,435,229","5,257,803"
2,Cost of Revenue,"1,020,595","991,384","978,466","966,827"
3,Gross Profit,"4,619,424","4,547,256","4,456,763","4,290,976"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"377,131","378,851","405,053","388,850"
7,Non Recurring,-,-,-,-
8,Others,"51,440","90,613","78,209","59,585"
9,Total Operating Expenses,"2,731,620","2,736,300","2,714,401","2,592,830"
10,Operating Income or Loss,"2,908,399","2,802,340","2,720,828","2,664,973"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-49,158","-534,094","-556,444","-505,428"
13,Earnings Before Interest and Taxes,"2,908,399","2,802,340","2,720,828","2,664,973"
14,Interest Expense,"-815,923","-809,393","-857,554","-923,697"
15,Income Before Tax,"2,859,241","2,268,246","2,164,384","2,159,545"
16,Income Tax Expense,"36,898","23,343","29,678","20,170"
17,Minority Interest,"730,438","743,076","787,226","770,442"
18,Net Income From Continuing Ops,"2,822,343","2,244,903","2,134,706","2,139,375"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,440,058","1,947,962","1,838,896","1,827,720"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,436,721","1,944,625","1,835,559","1,824,383"
