,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"2,502,996","2,340,049","2,197,448","1,963,874"
2,Cost of Revenue,"875,758","809,001","725,620","610,943"
3,Gross Profit,"1,627,238","1,531,048","1,471,828","1,352,931"
4,Operating Expenses,,,,
5,Research Development,"222,434","167,628","148,591","125,286"
6,Selling General and Administrative,"995,824","874,455","827,497","700,969"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,124,920","1,877,726","1,728,775","1,469,255"
10,Operating Income or Loss,"378,076","462,323","468,673","494,619"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-61,954","-2,877","-12,049","-14,843"
13,Earnings Before Interest and Taxes,"378,076","462,323","468,673","494,619"
14,Interest Expense,"-18,839","-18,638","-18,525","-15,463"
15,Income Before Tax,"316,122","459,446","456,624","479,776"
16,Income Tax Expense,"97,801","143,314","135,218","145,828"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"218,321","316,132","321,406","333,948"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"218,321","316,132","321,406","333,948"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"218,321","316,132","321,406","333,948"
